Company Name	Code
Sichuan Road & Bridge Group Co.,Ltd.	600039
STATE GRID INFORMATION&COMMUNICATION CO.,LTD.	600131
Luenmei Quantum Co.,Ltd	600167
SHANGHAI BELLING CO.,LTD.	600171
Antong Holdings Co., Ltd.	600179
YTO Express Group Co.,Ltd.	600233
GUANGXI GUIGUAN ELECTRIC POWER CO.,LTD.	600236
Shaanxi Construction Engineering Group Corporation Limited	600248
Zhejiang Jiahua energy chemical industry Co.,Ltd.	600273
Nanjing Iron&Steel Co.,Ltd.	600282
Bluestar Adisseo Company	600299
Grandblue environment company limited	600323
TIANJIN PHARMACEUTICAL DA REN TANG GROUP CORPORATION LIMITED	600329
TIBET SUMMIT RESOURCES CO., LTD.	600338
Tangshan Sanyou Chemical Industries Co.,Ltd	600409
KPC Pharmaceuticals, Inc.	600422
FUJIAN FUNENG CO.，LTD	600483
Jiangsu Yangnong Chemical Co.,Ltd.	600486
Anhui Construction Engineering Group Corporation Limited	600502
FANGDA SPECIAL STEEL TECHNOLOGY CO., LTD	600507
INMYSHOW DIGITAL TECHNOLOGY （GROUP） CO., LTD.	600556
Xiamen Faratronic Co.,LTD.	600563
HUBEI JUMPCAN PHARMACEUTICAL CO., LTD.	600566
SHANYING INTERNATIONAL HOLDINGS CO.,LTD.	600567
WOLONG ELECTRIC GROUP CO.，LTD.	600580
ZHEJIANG XINAN CHEMICAL INDUSTRIAL GROUP CO.,LTD	600596
LAO FENG XIANG CO.,LTD.	600612
Shanghai Foreign Service Holding Group CO.,Ltd.	600662
JIANGSU SOPO CHEMICAL CO.LTD.	600746
XIAMEN ITG GROUP CORP., LTD.	600755
China Marine Information Electronics Company Limited	600764
Xinyu Iron ＆ Steel Co.,Ltd	600782
ENN Natural Gas Co., Ltd.	600803
SHANGHAI TONGJI SCIENCE & TECHNOLOGY INDUSTRIAL CO.,LTD	600846
CETC Digital Technology Co.,Ltd.	600850
Lihuayi Weiyuan Chemical Co., Ltd.	600955
SHANDONG BOHUI PAPER INDUSTRIAL CO.,LTD.	600966
Huaibei Mining Holdings Co.,Ltd.	600985
TANGSHAN PORT GROUP CO.,LTD.	601000
SHENZHEN GAS CORPORATION LTD.	601139
Eastern Air Logistics Co., Ltd.	601156
Camel Group Co.,Ltd.	601311
NINGBO SANXING MEDICAL ELECTRIC Co.,Ltd.	601567
Changzhou Xingyu Automotive Lighting Systems Co., Ltd	601799
COSCO SHIPPING Development Co.,Ltd.	601866
NINGBO HAITIAN PRECISION MACHINERY CO., LTD.	601882
XILINMEN FURNITURE CO.,LTD.	603008
Zhejiang Wansheng Co.,Ltd	603010
JINNENG SCIENCE&TECHNOLOGY CO., LTD.	603113
JOINN LABORATORIES (CHINA) CO., LTD	603127
