,index,ts_code_x,trade_date,open,high,low,close_x,pre_close,change,pct_chg,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
0,0,600323.SH,20221101,17.92,18.28,17.83,18.23,17.92,0.3099999999999987,1.7299,36039.45,65113.511,0.442,0.8125,0.97,12.7764,13.4822,1.4023,1.2622,1.0422,1.2068,1.2068,81534.7146,81534.7146,44354.4589,1486377.8472,1486377.8472
1,1,600323.SH,20221031,18.36,18.43,17.76,17.92,18.38,-0.4599999999999973,-2.5027,44855.87,80865.604,0.5501,1.0113,1.34,12.5591,13.2529,1.3784,1.2407,1.0244,1.2277,1.2277,81534.7146,81534.7146,44354.4589,1461102.0856,1461102.0856
2,2,600323.SH,20221028,19.41,19.44,18.19,18.38,19.41,-1.0300000000000011,-5.3065,51519.48,96007.135,0.6319,1.1615,1.94,12.8815,13.5931,1.4138,1.2725,1.0507,1.197,1.197,81534.7146,81534.7146,44354.4589,1498608.0543,1498608.0543
3,3,600323.SH,20221027,19.66,19.73,19.34,19.41,19.42,-0.010000000000001563,-0.0515,29578.48,57769.888,0.3628,0.6669,1.2,13.6034,14.3549,1.493,1.3439,1.1096,1.1334,1.1334,81534.7146,81534.7146,44354.4589,1582588.8104,1582588.8104
4,4,600323.SH,20221026,19.31,19.75,19.21,19.42,19.28,0.14000000000000057,0.7261,40420.51,78943.812,0.4957,0.9058,2.04,13.6104,14.5803,1.5403,1.3445,1.1851,1.1329,1.1329,81534.7146,81534.7146,44623.5838,1583404.1575,1583404.1575
5,5,600323.SH,20221025,19.3,19.52,19.05,19.28,19.36,-0.0799999999999983,-0.4132,19504.83,37597.609,0.2392,0.4371,1.02,13.5122,14.4752,1.5292,1.3349,1.1766,1.1411,1.1411,81534.7146,81534.7146,44623.5838,1571989.2975,1571989.2975
6,6,600323.SH,20221024,19.6,19.9,19.31,19.36,19.76,-0.40000000000000213,-2.0243,26006.45,50778.377,0.319,0.5828,1.42,13.5683,14.5352,1.5356,1.3404,1.1815,1.1364,1.1364,81534.7146,81534.7146,44623.5838,1578512.0747,1578512.0747
7,7,600323.SH,20221021,19.55,19.77,19.42,19.76,19.53,0.23000000000000043,1.1777,16999.79,33334.089,0.2085,0.381,0.93,13.8486,14.8356,1.5673,1.3681,1.2059,1.1134,1.1134,81534.7146,81534.7146,44623.5838,1611125.9605,1611125.9605
8,8,600323.SH,20221020,19.4,19.75,19.17,19.53,19.47,0.060000000000002274,0.3082,20732.78,40297.66,0.2543,0.4646,1.08,13.6875,14.6629,1.549,1.3522,1.1918,1.1265,1.1265,81534.7146,81534.7146,44623.5838,1592372.9761,1592372.9761
9,9,600323.SH,20221019,19.49,19.74,19.39,19.47,19.56,-0.08999999999999986,-0.4601,15654.49,30567.296,0.192,0.3508,0.71,13.6454,14.6178,1.5443,1.348,1.1882,1.1299,1.1299,81534.7146,81534.7146,44623.5838,1587480.8933,1587480.8933
