Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ATCOL,Atlas Corp. 7.125% Notes due 2027,$24.19,0.14,0.582%,0.00,United Kingdom,,210,Basic Materials,Precious Metals
AU,AngloGold Ashanti Limited Common Stock,$19.36,-0.35,-1.776%,8099972881.00,South Africa,,1482484,Basic Materials,Precious Metals
AUMN,Golden Minerals Company Common Stock,$0.2706,-0.0154,-5.385%,45319545.00,United States,,358643,Basic Materials,Precious Metals
AUY,Yamana Gold Inc. Ordinary Shares (Canada),$5.61,-0.14,-2.435%,5391226830.00,Canada,,10349009,Basic Materials,Precious Metals
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),$61.74,-1.00,-1.594%,156241471085.00,Australia,,1670349,Basic Materials,Metal Mining
BVN,Buenaventura Mining Company Inc.,$7.51,-0.15,-1.958%,1907441371.00,Peru,1996,911662,Basic Materials,Precious Metals
CDE,Coeur Mining Inc. Common Stock,$3.47,-0.22,-5.962%,1026098998.00,United States,,4314361,Basic Materials,Precious Metals
CHNR,China Natural Resources Inc. Common Stock,$0.368,0.0129,3.633%,15068894.00,Hong Kong,,20975,Basic Materials,Metal Mining
CLW,Clearwater Paper Corporation Common Stock,$37.40,-0.43,-1.137%,626893901.00,United States,,45907,Basic Materials,Paper
CMCL,Caledonia Mining Corporation Plc Common Shares,$12.41,-0.65,-4.977%,159259094.00,Canada,,26429,Basic Materials,Precious Metals
CMP,Compass Minerals Intl Inc Common Stock,$40.21,-1.25,-3.015%,1649548180.00,United States,2003,270211,Basic Materials,Other Metals and Minerals
CTGO,Contango ORE Inc. Common Stock,$22.2892,-0.3676,-1.622%,151000191.00,,2021,380,Basic Materials,Precious Metals
DC,Dakota Gold Corp. Common Stock,$3.29,-0.04,-1.201%,240756446.00,,2022,77847,Basic Materials,Precious Metals
DRD,DRDGOLD Limited American Depositary Shares,$7.22,-0.38,-5.00%,619458990.00,South Africa,,247255,Basic Materials,Precious Metals
FAST,Fastenal Company Common Stock,$46.84,-0.65,-1.369%,26828072779.00,United States,1987,2380901,Basic Materials,Construction Materials
FCX,Freeport-McMoRan Inc. Common Stock,$37.88,-1.00,-2.572%,54142913995.00,United States,,8305483,Basic Materials,Metal Mining
FNV,Franco-Nevada Corporation,$136.77,-2.02,-1.455%,26213976369.00,Canada,,374628,Basic Materials,Precious Metals
GATO,Gatos Silver Inc. Common Stock,$4.23,-0.27,-6.00%,292438910.00,United States,2020,212371,Basic Materials,Precious Metals
GFI,Gold Fields Limited American Depositary Shares,$10.49,-0.17,-1.595%,9349192391.00,South Africa,,3859583,Basic Materials,Precious Metals
GLG,TD Holdings Inc. Common Stock,$1.13,0.05,4.63%,62940306.00,China,2013,458154,Basic Materials,Other Metals and Minerals
GLT,Glatfelter Corporation Common Stock,$2.65,-0.10,-3.636%,118710738.00,United States,2000,465454,Basic Materials,Paper
GORO,Gold Resource Corporation Common Stock,$1.50,-0.06,-3.846%,132597164.00,United States,,695556,Basic Materials,Precious Metals
GPK,Graphic Packaging Holding Company,$22.01,-0.41,-1.829%,6759668897.00,United States,,2022451,Basic Materials,Paper
GSM,Ferroglobe PLC Ordinary Shares,$3.69,-0.15,-3.906%,691186667.00,United Kingdom,,1368615,Basic Materials,Other Metals and Minerals
HL,Hecla Mining Company Common Stock,$5.41,-0.23,-4.078%,3279924043.00,United States,,5754334,Basic Materials,Precious Metals
HMY,Harmony Gold Mining Company Limited,$3.40,-0.08,-2.299%,2101283609.00,South Africa,,3687898,Basic Materials,Precious Metals
HYMC,Hycroft Mining Holding Corporation Class A Common Stock,$0.4825,-0.0359,-6.925%,24202220.00,United States,2018,2217583,Basic Materials,Precious Metals
HYMCL,Hycroft Mining Holding Corporation Warrants,$0.0882,-0.0117,-11.712%,0.00,United States,,6944,Basic Materials,Precious Metals
HYMCW,Hycroft Mining Holding Corporation  Warrant,$0.06,0.005,9.091%,0.00,United States,2018,71531,Basic Materials,Precious Metals
IDR,Idaho Strategic Resources Inc. Common Stock,$5.57,-0.14,-2.452%,67386250.00,,2022,16545,Basic Materials,Precious Metals
IE,Ivanhoe Electric Inc. Common Stock,$11.31,-1.18,-9.448%,1050562353.00,,2022,182963,Basic Materials,Metal Mining
ITP,IT Tech Packaging Inc. Common Stock,$0.5197,0.0047,0.913%,5932854.00,China,,51654,Basic Materials,Paper
MATV,Mativ Holdings Inc. Common Stock,$20.88,-1.01,-4.614%,1147214663.00,United States,,291327,Basic Materials,Paper
MERC,Mercer International Inc. Common Stock,$11.54,-0.26,-2.203%,763569384.00,Canada,,273665,Basic Materials,Paper
MP,MP Materials Corp. Common Stock,$23.67,-0.84,-3.427%,4202443449.00,,2020,2295654,Basic Materials,Precious Metals
MSB,Mesabi Trust Common Stock,$18.07,-0.64,-3.421%,237078581.00,United States,,49200,Basic Materials,Metal Mining
MUX,McEwen Mining Inc. Common Stock,$5.81,-0.32,-5.22%,275554135.00,Canada,,313536,Basic Materials,Other Metals and Minerals
NEM,Newmont Corporation,$47.37,-1.38,-2.831%,37599403687.00,United States,,5282850,Basic Materials,Precious Metals
NEXA,Nexa Resources S.A. Common Shares,$6.00,0.08,1.351%,794631666.00,,2017,132212,Basic Materials,Metal Mining
PKG,Packaging Corporation of America Common Stock,$127.01,-2.55,-1.968%,11752804305.00,United States,2000,257899,Basic Materials,Paper
PLL,Piedmont Lithium Inc. Common Stock,$41.64,-0.75,-1.769%,749945894.00,United States,,462862,Basic Materials,Other Metals and Minerals
PZG,Paramount Gold Nevada Corp. Common Stock,$0.3706,-0.0111,-2.908%,17393139.00,United States,2015,198625,Basic Materials,Precious Metals
RFP,Resolute Forest Products Inc. Common Stock,$21.90,1.06,5.086%,1682178661.00,Canada,,1464243,Basic Materials,Paper
RIO,Rio Tinto Plc Common Stock,$70.63,-0.80,-1.12%,114480896972.00,Australia,2002,1903768,Basic Materials,Metal Mining
SBSW,D/B/A Sibanye-Stillwater Limited ADS,$10.67,-0.29,-2.646%,7549660399.00,,,2072333,Basic Materials,Precious Metals
SCCO,Southern Copper Corporation Common Stock,$61.06,-1.12,-1.801%,47205392517.00,United States,,669160,Basic Materials,Metal Mining
STKL,SunOpta Inc. Common Stock,$8.68,0.14,1.639%,936281793.00,Canada,,862630,Basic Materials,Precious Metals
SUZ,Suzano S.A. American Depositary Shares (each representing One Ordinary Share),$9.14,0.14,1.556%,11967477417.00,,2018,1353116,Basic Materials,Paper
UEC,Uranium Energy Corp. Common Stock,$3.68,-0.11,-2.902%,1360875195.00,Canada,,5171686,Basic Materials,Other Metals and Minerals
UFPI,UFP Industries Inc. Common Stock,$77.50,-2.67,-3.33%,4776907335.00,United States,1993,232510,Basic Materials,Forest Products
USAU,U.S. Gold Corp. Common Stock,$4.75,0.06,1.279%,39727399.00,United States,,51069,Basic Materials,Precious Metals
VALE,VALE S.A.  American Depositary Shares Each Representing one common share,$16.92,0.04,0.237%,78915931527.00,Brazil,,21807390,Basic Materials,Metal Mining
VGFC,The Very Good Food Company Inc. Common Shares,$0.069,-0.002,-2.817%,9129617.00,Canada,,3641107,Basic Materials,Other Metals and Minerals
WWR,Westwater Resources Inc. Common Stock,$0.7759,-0.0361,-4.446%,37294939.00,United States,,375534,Basic Materials,Other Metals and Minerals
XPL,Solitario Zinc Corp. Common Stock,$0.615,0.026,4.414%,39832857.00,United States,,33947,Basic Materials,Precious Metals
