Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAIC,Arlington Asset Investment Corp Class A (new),$2.83,-0.03,-1.049%,80277699.00,United States,,99547,Real Estate,Real Estate Investment Trusts
AAT,American Assets Trust Inc. Common Stock,$26.09,-0.57,-2.138%,1579178520.00,United States,2011,172416,Real Estate,Real Estate Investment Trusts
ABR,Arbor Realty Trust Common Stock,$13.15,-0.44,-3.238%,2255535235.00,United States,2004,1271827,Real Estate,Real Estate Investment Trusts
ACR,ACRES Commercial Realty Corp. Common Stock,$7.95,-0.01,-0.126%,69630639.00,United States,,13772,Real Estate,Real Estate Investment Trusts
ACRE,Ares Commercial Real Estate Corporation Common Stock,$10.18,-0.82,-7.455%,554226167.00,United States,2012,1520627,Real Estate,Real Estate Investment Trusts
ADC,Agree Realty Corporation Common Stock,$70.45,-0.75,-1.053%,6239985322.00,United States,,585234,Real Estate,Real Estate Investment Trusts
AFCG,AFC Gamma Inc. Common Stock,$15.92,-0.45,-2.749%,324194880.00,United States,2021,175590,Real Estate,Real Estate Investment Trusts
AFYA,Afya Limited Class A Common Shares,$15.37,-0.12,-0.775%,1382324712.00,Brazil,2019,187932,Real Estate,Other Consumer Services
AGNC,AGNC Investment Corp. Common Stock,$10.41,-0.28,-2.619%,5950580242.00,United States,2008,10531559,Real Estate,Real Estate Investment Trusts
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,$21.92,-0.3395,-1.525%,0.00,United States,,47097,Real Estate,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,$20.70,0.35,1.72%,0.00,United States,,36372,Real Estate,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,$25.10,-0.12,-0.476%,0.00,United States,,46233,Real Estate,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,$20.61,-0.09,-0.435%,0.00,United States,,48493,Real Estate,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,$19.90,0.0546,0.275%,0.00,United States,,34035,Real Estate,Real Estate Investment Trusts
AHH,Armada Hoffler Properties Inc. Common Stock,$11.29,-0.20,-1.741%,764669882.00,United States,2013,205952,Real Estate,Real Estate Investment Trusts
AHT,Ashford Hospitality Trust Inc Common Stock,$4.16,-0.09,-2.118%,143515811.00,United States,2003,635823,Real Estate,Real Estate Investment Trusts
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,$23.95,-0.08,-0.333%,0.00,United States,2015,1660,Real Estate,Real Estate Investment Trusts
AIRC,Apartment Income REIT Corp. Common Stock,$33.67,-0.59,-1.722%,5048086568.00,,2020,1004153,Real Estate,Real Estate Investment Trusts
AIV,Apartment Investment and Management Company Common Stock,$7.01,-0.11,-1.545%,1062240575.00,United States,1994,1209134,Real Estate,Real Estate Investment Trusts
AJX,Great Ajax Corp. Common Stock,$7.13,-0.05,-0.696%,163224480.00,United States,2015,106561,Real Estate,Real Estate Investment Trusts
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,$24.25,-0.04,-0.165%,0.00,United States,2017,1864,Real Estate,Real Estate Investment Trusts
AKR,Acadia Realty Trust Common Stock,$14.01,-0.38,-2.641%,1330343591.00,United States,,364230,Real Estate,Real Estate Investment Trusts
ALBT,Avalon GloboCare Corp. Common Stock,$0.3967,0.0042,1.07%,39663827.00,United States,,170523,Real Estate,Building operators
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,$18.40,-0.30,-1.604%,1334813924.00,United States,,128765,Real Estate,Real Estate Investment Trusts
ALX,Alexander's Inc. Common Stock,$217.36,-2.21,-1.007%,1110120554.00,United States,,6814,Real Estate,Real Estate Investment Trusts
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,$29.81,-0.45,-1.487%,10536181588.00,,2013,1040115,Real Estate,Real Estate Investment Trusts
AMT,American Tower Corporation (REIT) Common Stock,$210.10,-0.80,-0.379%,97823737190.00,United States,,1411720,Real Estate,Real Estate Investment Trusts
AOMR,Angel Oak Mortgage Inc. Common Stock,$5.01,0.07,1.417%,124876039.00,,2021,73419,Real Estate,Real Estate Investment Trusts
APLE,Apple Hospitality REIT Inc. Common Shares,$15.55,-0.36,-2.263%,3557103086.00,United States,2015,1505637,Real Estate,Real Estate Investment Trusts
ARE,Alexandria Real Estate Equities Inc. Common Stock,$143.45,-3.00,-2.048%,23538319742.00,United States,,711824,Real Estate,Real Estate Investment Trusts
ARI,Apollo Commercial Real Estate Finance Inc,$10.90,-0.50,-4.386%,1532496346.00,United States,2009,1252340,Real Estate,Real Estate Investment Trusts
ARL,American Realty Investors Inc. Common Stock,$26.89,-0.16,-0.591%,434328436.00,United States,,11181,Real Estate,Building operators
ARR,ARMOUR Residential REIT Inc.,$5.59,-0.18,-3.12%,738662740.00,United States,,4188932,Real Estate,Real Estate Investment Trusts
AVB,AvalonBay Communities Inc. Common Stock,$161.08,-1.72,-1.057%,22534665299.00,United States,,420863,Real Estate,Real Estate Investment Trusts
AXR,AMREP Corporation Common Stock,$11.59,0.23,2.025%,60904395.00,United States,,2306,Real Estate,Homebuilding
BDN,Brandywine Realty Trust Common Stock,$6.04,-0.28,-4.43%,1036281634.00,United States,,2692685,Real Estate,Real Estate Investment Trusts
BFS,Saul Centers Inc. Common Stock,$40.25,-0.81,-1.973%,961781196.00,United States,1993,32206,Real Estate,Real Estate Investment Trusts
BHM,Bluerock Homes Trust Inc. Class A Common Stock,$21.00,-0.08,-0.38%,80713542.00,,2022,22910,Real Estate,Real Estate Investment Trusts
BHR,Braemar Hotels & Resorts Inc. Common Stock,$3.99,-0.07,-1.724%,285110840.00,United States,2013,471217,Real Estate,Real Estate Investment Trusts
BNH,Brookfield Finance Inc. 4.625% Subordinated Notes due October 16 2080,$15.61,-0.145,-0.92%,0.00,,2020,29575,Real Estate,Building operators
BNJ,Brookfield Finance Inc. 4.50% Perpetual Subordinated Notes,$14.90,-0.08,-0.534%,0.00,,2020,76183,Real Estate,Building operators
BNL,Broadstone Net Lease Inc. Common Stock,$16.46,-0.30,-1.79%,2849472061.00,United States,2020,1044275,Real Estate,Real Estate Investment Trusts
BRMK,Broadmark Realty Capital Inc. Common Stock,$3.55,-0.15,-4.054%,471873366.00,United States,2019,1310161,Real Estate,Real Estate Investment Trusts
BRSP,BrightSpire Capital Inc. Class A Common Stock,$6.32,-0.35,-5.247%,815058383.00,,2018,953820,Real Estate,Real Estate Investment Trusts
BRT,BRT Apartments Corp. (MD) Common Stock,$19.30,-0.17,-0.873%,365546806.00,United States,,35518,Real Estate,Real Estate Investment Trusts
BRX,Brixmor Property Group Inc. Common Stock,$22.18,-0.39,-1.728%,6652073445.00,,2013,1283096,Real Estate,Real Estate Investment Trusts
BXMT,Blackstone Mortgage Trust Inc. Common Stock,$21.58,-0.68,-3.055%,3688002362.00,United States,,2393613,Real Estate,Real Estate Investment Trusts
BXP,Boston Properties Inc. Common Stock,$66.34,-2.56,-3.716%,10399107594.00,United States,1997,1107477,Real Estate,Real Estate Investment Trusts
CBL,CBL & Associates Properties Inc. Common Stock,$22.73,-0.92,-3.89%,723590866.00,United States,2021,159905,Real Estate,Real Estate Investment Trusts
CCI,Crown Castle Inc. Common Stock,$134.86,-2.07,-1.512%,58400853415.00,United States,,1317669,Real Estate,Real Estate Investment Trusts
CHCI,Comstock Holding Companies Inc. Class A Common Stock,$4.02,0.01,0.249%,38068375.00,United States,2004,906,Real Estate,Building operators
CHCT,Community Healthcare Trust Incorporated Common Stock,$35.38,-0.51,-1.421%,895084210.00,United States,2015,78834,Real Estate,Real Estate Investment Trusts
CHMI,Cherry Hill Mortgage Investment Corporation Common Stock,$6.12,-0.08,-1.29%,128452864.00,,2013,764941,Real Estate,Real Estate Investment Trusts
CIM,Chimera Investment Corporation Common Stock,$5.78,-0.42,-6.774%,1339540120.00,United States,2007,5798047,Real Estate,Real Estate Investment Trusts
CIO,City Office REIT Inc. Common Stock,$8.22,-0.20,-2.375%,326488265.00,,2014,301787,Real Estate,Real Estate Investment Trusts
CLDT,Chatham Lodging Trust (REIT) Common Shares of Beneficial Interest,$12.08,-0.32,-2.581%,589594769.00,United States,2010,138643,Real Estate,Real Estate Investment Trusts
CLEU,China Liberal Education Holdings Limited Ordinary Shares,$0.96,-0.01,-1.031%,30334400.00,China,2020,114054,Real Estate,Other Consumer Services
CLPR,Clipper Realty Inc. Common Stock,$6.19,-0.34,-5.207%,99431381.00,United States,2017,92437,Real Estate,Real Estate Investment Trusts
CMCT,Creative Media & Community Trust Corporation Common stock,$5.04,0.13,2.648%,114598779.00,United States,,8592,Real Estate,Real Estate Investment Trusts
CMCTP,Creative Media & Community Trust Corporation Series L Preferred Stock,$28.50,0.5303,1.896%,0.00,United States,,451,Real Estate,Real Estate Investment Trusts
CMTG,Claros Mortgage Trust Inc. Common Stock,$15.04,-0.47,-3.03%,2081177206.00,,2021,221476,Real Estate,Real Estate Investment Trusts
COLD,Americold Realty Trust Inc. Common Stock,$28.09,-0.44,-1.542%,7567425972.00,United States,2018,815020,Real Estate,Real Estate Investment Trusts
CORR,CorEnergy Infrastructure Trust Inc. Common Stock,$2.14,-0.34,-13.71%,33941838.00,United States,,83199,Real Estate,Real Estate Investment Trusts
CPT,Camden Property Trust Common Stock,$109.86,-1.65,-1.48%,11703169925.00,United States,1993,438357,Real Estate,Real Estate Investment Trusts
CSR,D/B/A Centerspace Common Stock,$58.50,-1.20,-2.01%,881535798.00,United States,,37092,Real Estate,Real Estate Investment Trusts
CTO,CTO Realty Growth Inc. Common Stock,$17.95,-0.36,-1.966%,409995771.00,United States,1992,148458,Real Estate,Real Estate Investment Trusts
CTRE,CareTrust REIT Inc. Common Stock,$18.60,-0.44,-2.311%,1804734601.00,United States,2022,300704,Real Estate,Real Estate Investment Trusts
CUBE,CubeSmart Common Shares,$40.19,-0.74,-1.808%,9025656630.00,United States,,1256946,Real Estate,Real Estate Investment Trusts
CUZ,Cousins Properties Incorporated Common Stock,$24.61,-1.05,-4.092%,3726797655.00,United States,,1072426,Real Estate,Real Estate Investment Trusts
DAO,Youdao Inc. American Depositary Shares each representing one Class A Ordinary Share,$5.05,-0.76,-13.081%,626103828.00,,2019,376293,Real Estate,Other Consumer Services
DBRG,DigitalBridge Group Inc.,$10.42,-0.28,-2.617%,1666109130.00,United States,2014,1922948,Real Estate,Building operators
DEA,Easterly Government Properties Inc. Common Stock,$13.95,-0.18,-1.274%,1266855593.00,United States,2015,772468,Real Estate,Real Estate Investment Trusts
DEI,Douglas Emmett Inc. Common Stock,$15.36,-0.63,-3.94%,2700117581.00,United States,2006,1458450,Real Estate,Real Estate Investment Trusts
DHC,Diversified Healthcare Trust Common Shares of Beneficial Interest,$0.6375,-0.0125,-1.923%,152811083.00,United States,,1932702,Real Estate,Real Estate Investment Trusts
DHCNI,Diversified Healthcare Trust 5.625% Senior Notes due 2042,$10.81,0.09,0.84%,0.00,United States,,77568,Real Estate,Real Estate Investment Trusts
DHCNL,Diversified Healthcare Trust 6.25% Senior Notes Due 2046,$11.58,0.26,2.297%,0.00,United States,,96554,Real Estate,Real Estate Investment Trusts
