,date,open,high,low,close,volume,tic,day,change
0,1969-12-31,3.5,3.5729169845581055,3.5,1.336039662361145,270000.0,CAT,2,
1,1970-01-02,3.5416669845581055,3.5416669845581055,3.4479169845581055,1.3046034574508667,276000.0,CAT,4,-0.023529394969249662
2,1970-01-05,3.4583330154418945,3.4895830154418945,3.4375,1.3006736040115356,103200.0,CAT,0,-0.003012297274613829
3,1970-01-06,3.4479169845581055,3.4479169845581055,3.34375,1.2692371606826782,105600.0,CAT,1,-0.024169355964402728
4,1970-01-07,3.3333330154418945,3.3333330154418945,3.2395830154418945,1.2299425601959229,201600.0,CAT,2,-0.030959226300638854
5,1970-01-08,3.2604169845581055,3.3333330154418945,3.25,1.233871340751648,325200.0,CAT,3,0.0031942797028661207
6,1970-01-09,3.2708330154418945,3.2708330154418945,3.2083330154418945,1.2102949619293213,345600.0,CAT,4,-0.019107647648225923
7,1970-01-12,3.2083330154418945,3.2395830154418945,3.1458330154418945,1.20243501663208,414000.0,CAT,0,-0.006494239457720097
8,1970-01-13,3.1979169845581055,3.2395830154418945,3.1979169845581055,1.2181535959243774,297600.0,CAT,1,0.013072290040524459
9,1970-01-14,3.2291669845581055,3.2604169845581055,3.1770830154418945,1.2299425601959229,256800.0,CAT,2,0.009677732193204669
10,1970-01-15,3.2604169845581055,3.2604169845581055,3.21875,1.2260133028030396,201600.0,CAT,3,-0.0031946673934573067
11,1970-01-16,3.25,3.28125,3.2083330154418945,1.2102949619293213,217200.0,CAT,4,-0.012820693574679298
12,1970-01-19,3.2083330154418945,3.2395830154418945,3.1770830154418945,1.2102949619293213,178800.0,CAT,0,0.0
13,1970-01-20,3.2083330154418945,3.25,3.1770830154418945,1.2102949619293213,279600.0,CAT,1,0.0
14,1970-01-21,3.2083330154418945,3.2291669845581055,3.1458330154418945,1.20243501663208,292800.0,CAT,2,-0.006494239457720097
15,1970-01-22,3.1875,3.2291669845581055,3.1666669845581055,1.1985061168670654,216000.0,CAT,3,-0.0032674528857444818
16,1970-01-23,3.1770830154418945,3.2604169845581055,3.1666669845581055,1.194576621055603,247200.0,CAT,4,-0.0032786614570931016
17,1970-01-26,3.1666669845581055,3.1666669845581055,3.0416669845581055,1.1592111587524414,198000.0,CAT,0,-0.02960501794511139
18,1970-01-27,3.0625,3.0625,3.0104169845581055,1.1395635604858398,204000.0,CAT,1,-0.016949110710551274
19,1970-01-28,3.0208330154418945,3.0833330154418945,3.0104169845581055,1.151351809501648,276000.0,CAT,2,0.010344529629205068
20,1970-01-29,3.0520830154418945,3.09375,3.0208330154418945,1.147423267364502,241200.0,CAT,3,-0.0034121127050179556
21,1970-01-30,3.0416669845581055,3.09375,3.0,1.1434922218322754,547200.0,CAT,4,-0.0034259768335147545
22,1970-02-02,3.0416669845581055,3.15625,3.0416669845581055,1.147423267364502,172800.0,CAT,0,0.003437754500793755
23,1970-02-03,3.0416669845581055,3.15625,3.0416669845581055,1.1709996461868286,806400.0,CAT,1,0.020547237878903113
24,1970-02-04,3.1041669845581055,3.1145830154418945,3.0416669845581055,1.1552815437316895,346800.0,CAT,2,-0.013422807177032592
25,1970-02-05,3.0520830154418945,3.0520830154418945,3.0,1.147423267364502,277200.0,CAT,3,-0.006802044410580965
26,1970-02-06,3.0416669845581055,3.0833330154418945,3.0,1.1434922218322754,196800.0,CAT,4,-0.0034259768335147545
27,1970-02-09,3.03125,3.1354169845581055,3.0208330154418945,1.1631404161453247,87600.0,CAT,0,0.017182621742337645
28,1970-02-10,3.0833330154418945,3.1354169845581055,3.0729169845581055,1.1749292612075806,237600.0,CAT,1,0.010135358464564703
29,1970-02-11,3.1145830154418945,3.21875,3.09375,1.1867176294326782,242400.0,CAT,2,0.010033257843099053
30,1970-02-12,3.1458330154418945,3.15625,3.1041669845581055,1.1709996461868286,181200.0,CAT,3,-0.013244922680860305
31,1970-02-13,3.1041669845581055,3.1354169845581055,3.09375,1.1709996461868286,562800.0,CAT,4,0.0
32,1970-02-16,3.1041669845581055,3.1458330154418945,3.1041669845581055,1.1749292612075806,157200.0,CAT,0,0.003355778145235133
33,1970-02-17,3.1145830154418945,3.125,3.09375,1.1709996461868286,166800.0,CAT,1,-0.00334455456213012
34,1970-02-18,3.1041669845581055,3.15625,3.0833330154418945,1.182788372039795,1314000.0,CAT,2,0.0100672326344029
35,1970-02-19,3.1458330154418945,3.2708330154418945,3.1458330154418945,1.2299425601959229,788400.0,CAT,3,0.03986696967168135
36,1970-02-20,3.2604169845581055,3.3541669845581055,3.1979169845581055,1.233871340751648,291600.0,CAT,4,0.0031942797028661207
37,1970-02-24,3.2708330154418945,3.3541669845581055,3.2604169845581055,1.2574487924575806,169200.0,CAT,1,0.01910851717454576
38,1970-02-25,3.3333330154418945,3.375,3.3125,1.2653086185455322,226800.0,CAT,2,0.006250613253673931
39,1970-02-26,3.34375,3.34375,3.2916669845581055,1.2495899200439453,88800.0,CAT,3,-0.01242281785739796
40,1970-02-27,3.3125,3.3541669845581055,3.3020830154418945,1.2495899200439453,99600.0,CAT,4,0.0
41,1970-03-02,3.3229169845581055,3.46875,3.3229169845581055,1.2692371606826782,298800.0,CAT,0,0.01572295064451379
42,1970-03-03,3.3645830154418945,3.4270830154418945,3.3333330154418945,1.2574487924575806,459600.0,CAT,1,-0.009287758497991905
43,1970-03-04,3.3541669845581055,3.4375,3.3541669845581055,1.2810267210006714,265200.0,CAT,2,0.018750607328517743
44,1970-03-05,3.3958330154418945,3.4479169845581055,3.3958330154418945,1.2928149700164795,217200.0,CAT,3,0.009202188231171027
45,1970-03-06,3.4270830154418945,3.4583330154418945,3.4166669845581055,1.2928149700164795,255600.0,CAT,4,0.0
46,1970-03-09,3.3958330154418945,3.3958330154418945,3.3541669845581055,1.2770967483520508,130800.0,CAT,0,-0.012158137110856893
47,1970-03-10,3.3854169845581055,3.3854169845581055,3.34375,1.2653086185455322,91200.0,CAT,1,-0.009230412513170805
48,1970-03-11,3.3541669845581055,3.375,3.34375,1.261379361152649,111600.0,CAT,2,-0.0031053747167232304
49,1970-03-12,3.34375,3.375,3.3333330154418945,1.2653086185455322,130800.0,CAT,3,0.0031150481083603854
50,1970-03-13,3.3645830154418945,3.3854169845581055,3.3645830154418945,1.2770967483520508,372000.0,CAT,4,0.009316406790992104
51,1970-03-16,3.3854169845581055,3.3854169845581055,3.3541669845581055,1.2653086185455322,133200.0,CAT,0,-0.009230412513170805
52,1970-03-17,3.3541669845581055,3.40625,3.3333330154418945,1.2849555015563965,824400.0,CAT,1,0.01552734465165373
53,1970-03-18,3.4583330154418945,3.5833330154418945,3.4583330154418945,1.3242515325546265,811200.0,CAT,2,0.030581627885660545
54,1970-03-19,3.5104169845581055,3.5625,3.5,1.336039662361145,140400.0,CAT,3,0.008901730159811772
55,1970-03-20,3.5416669845581055,3.5520830154418945,3.46875,1.316392421722412,118800.0,CAT,4,-0.014705581871731987
56,1970-03-23,3.5,3.5729169845581055,3.5,1.336039662361145,260400.0,CAT,0,0.014925063616687995
57,1970-03-24,3.5416669845581055,3.65625,3.5208330154418945,1.336039662361145,430800.0,CAT,1,0.0
58,1970-03-25,3.5416669845581055,3.7291669845581055,3.5208330154418945,1.383194088935852,996000.0,CAT,2,0.03529418167973564
59,1970-03-26,3.6666669845581055,3.7083330154418945,3.65625,1.391053318977356,373200.0,CAT,3,0.005681943050776184
60,1970-03-30,3.6875,3.6875,3.6354169845581055,1.383194088935852,160800.0,CAT,0,-0.0056498409761041035
61,1970-03-31,3.6666669845581055,3.6666669845581055,3.6354169845581055,1.379264235496521,393600.0,CAT,1,-0.0028411438935185274
62,1970-04-01,3.65625,3.6666669845581055,3.6354169845581055,1.3714051246643066,340800.0,CAT,2,-0.005698045834839682
63,1970-04-02,3.6354169845581055,3.6875,3.625,1.379264235496521,204000.0,CAT,3,0.005730699623962776
64,1970-04-03,3.65625,3.6979169845581055,3.65625,1.391053318977356,163200.0,CAT,4,0.008547371255944292
65,1970-04-06,3.6875,3.6979169845581055,3.65625,1.3871228694915771,100800.0,CAT,0,-0.0028255203680246366
66,1970-04-07,3.65625,3.65625,3.625,1.3753347396850586,177600.0,CAT,1,-0.008498259286027987
67,1970-04-08,3.6458330154418945,3.65625,3.5833330154418945,1.3596163988113403,75600.0,CAT,2,-0.01142873834286895
68,1970-04-09,3.6041669845581055,3.6145830154418945,3.5833330154418945,1.3596163988113403,122400.0,CAT,3,0.0
69,1970-04-10,3.59375,3.59375,3.53125,1.355687141418457,421200.0,CAT,4,-0.0028899749931807772
70,1970-04-13,3.59375,3.6145830154418945,3.59375,1.355687141418457,180000.0,CAT,0,0.0
