,Date,Open,Low,High,Close,Adj. Close,Volume,Shares Outstanding,Dividend Yield,Earnings Yield,FCF Yield,Market-Cap,P/Cash,P/E,P/FCF,P/NCAV,P/NetNet,P/Sales,Price to Book Value
0,2007-01-03,61.18,60.05,61.9,60.36,47.03,6142500,,,,,,,,,,,,
1,2007-01-04,60.23,59.79,60.57,59.92,46.69,5671200,,,,,,,,,,,,
2,2007-01-05,59.65,58.9,59.87,59.13,46.07,6768100,,,,,,,,,,,,
3,2007-01-08,59.12,58.35,59.76,59.69,46.51,5000200,,,,,,,,,,,,
4,2007-01-09,59.9,59.0,59.95,59.31,46.21,4968000,,,,,,,,,,,,
5,2007-01-10,59.25,58.71,59.37,59.27,46.18,4366800,,,,,,,,,,,,
6,2007-01-11,59.25,59.06,59.57,59.45,46.32,4204900,,,,,,,,,,,,
7,2007-01-12,59.35,58.76,59.41,59.01,45.98,5002900,,,,,,,,,,,,
8,2007-01-16,58.85,58.68,59.18,59.13,46.07,5354200,,,,,,,,,,,,
9,2007-01-17,59.16,59.0,59.5,59.22,46.14,4898000,,,,,,,,,,,,
10,2007-01-18,58.5,58.5,59.43,59.0,45.97,4606500,,,,,,,,,,,,
11,2007-01-19,59.23,58.04,59.23,58.09,45.26,8192600,,,,,,,,,,,,
12,2007-01-22,58.55,57.14,58.63,58.06,45.24,13231600,,,,,,,,,,,,
13,2007-01-23,58.0,57.15,58.15,57.54,44.83,6572200,,,,,,,,,,,,
14,2007-01-24,57.7,57.65,58.93,58.93,45.92,5485000,,,,,,,,,,,,
15,2007-01-25,58.78,57.69,58.93,57.77,45.01,5103700,,,,,,,,,,,,
16,2007-01-26,57.81,57.45,58.05,57.85,45.07,5477000,,,,,,,,,,,,
17,2007-01-29,57.76,57.5,57.96,57.64,44.91,4714500,,,,,,,,,,,,
18,2007-01-30,57.68,57.65,58.03,58.01,45.2,5177500,,,,,,,,,,,,
19,2007-01-31,58.02,57.75,58.45,58.22,45.36,6323300,,,,,,,,,,,,
20,2007-02-01,58.3,57.91,58.67,58.07,45.24,4115900,,,,,,,,,,,,
21,2007-02-02,58.3,58.0,58.5,58.16,45.32,5033400,,,,,,,,,,,,
22,2007-02-05,58.17,57.91,58.48,58.2,45.35,3220000,,,,,,,,,,,,
23,2007-02-06,58.4,57.59,58.5,58.06,45.24,4491800,,,,,,,,,,,,
24,2007-02-07,58.23,58.06,58.85,58.68,45.72,4487000,,,,,,,,,,,,
25,2007-02-08,58.68,58.06,58.68,58.49,45.57,2913600,,,,,,,,,,,,
26,2007-02-09,58.65,57.31,58.97,57.53,44.82,4704900,,,,,,,,,,,,
27,2007-02-12,57.69,56.21,57.69,57.0,44.41,12378600,,,,,,,,,,,,
28,2007-02-13,57.23,56.82,57.78,57.6,44.88,4978500,,,,,,,,,,,,
29,2007-02-14,57.6,57.35,59.05,58.69,45.73,7739100,,,,,,,,,,,,
30,2007-02-15,58.52,58.52,59.12,58.85,45.85,7609300,,,,,,,,,,,,
31,2007-02-16,59.0,58.54,59.15,59.02,45.99,4927900,,,,,,,,,,,,
32,2007-02-20,58.75,58.08,59.01,58.71,45.74,4483200,,,,,,,,,,,,
33,2007-02-21,58.26,58.25,58.8,58.53,45.6,2681100,,,,,,,,,,,,
34,2007-02-22,58.42,57.94,58.77,58.15,45.31,3855300,,,,,,,,,,,,
35,2007-02-23,58.0,57.77,58.3,58.02,45.21,3574500,,,,,,,,,,,,
36,2007-02-26,58.02,57.1,58.48,57.14,44.52,4242800,,,,,,,,,,,,
37,2007-02-27,57.0,54.5,57.03,55.59,43.31,11075600,,,,,,,,,,,,
38,2007-02-28,56.03,55.75,57.46,56.87,44.31,11590300,,,,,,,,,,,,
39,2007-03-01,55.95,55.15,57.0,56.55,44.06,8759700,,,,,,,,,,,,
40,2007-03-02,56.1,55.33,56.45,55.44,43.2,7281000,,,,,,,,,,,,
41,2007-03-05,55.43,54.9,55.97,54.9,42.78,6482000,,,,,,,,,,,,
42,2007-03-06,55.38,55.21,56.46,56.37,43.92,8311300,,,,,,,,,,,,
43,2007-03-07,56.12,55.33,56.27,55.86,43.52,5464100,,,,,,,,,,,,
44,2007-03-08,56.65,56.12,57.0,56.82,44.27,5424500,,,,,,,,,,,,
45,2007-03-09,57.07,56.55,57.35,56.9,44.33,3819800,,,,,,,,,,,,
46,2007-03-12,56.11,55.64,56.96,56.71,44.19,3702300,,,,,,,,,,,,
47,2007-03-13,56.3,54.71,56.6,54.75,42.66,7980300,,,,,,,,,,,,
48,2007-03-14,54.95,53.91,56.14,55.71,43.41,10665600,,,,,,,,,,,,
49,2007-03-15,55.58,55.5,56.24,56.11,43.72,8899200,,,,,,,,,,,,
50,2007-03-16,56.15,54.95,56.56,55.55,43.28,7966600,,,,,,,,,,,,
51,2007-03-19,56.26,55.61,56.3,56.04,43.66,6295000,,,,,,,,,,,,
52,2007-03-20,56.04,55.92,56.41,56.26,43.83,3857400,,,,,,,,,,,,
53,2007-03-21,56.22,55.66,57.75,57.49,44.79,7200000,,,,,,,,,,,,
54,2007-03-22,57.4,56.84,57.6,57.44,44.75,5326400,,,,,,,,,,,,
55,2007-03-23,57.58,57.27,57.91,57.43,44.75,3505600,,,,,,,,,,,,
56,2007-03-26,57.4,56.69,57.57,57.2,44.57,3708800,,,,,,,,,,,,
57,2007-03-27,56.95,56.38,57.05,56.43,43.97,5419500,,,,,,,,,,,,
58,2007-03-28,56.3,55.61,56.36,55.86,43.52,7592800,,,,,,,,,,,,
59,2007-03-29,56.1,55.84,56.68,56.46,43.99,4588000,,,,,,,,,,,,
60,2007-03-30,56.65,55.73,56.94,56.4,43.94,4139100,,,,,,,,,,,,
61,2007-04-02,56.4,55.34,56.69,55.71,43.41,6908100,,,,,,,,,,,,
62,2007-04-03,55.8,55.72,56.46,55.92,43.69,7564200,,,,,,,,,,,,
63,2007-04-04,56.0,55.99,56.48,56.31,43.99,3598600,,,,,,,,,,,,
64,2007-04-05,56.08,55.73,56.18,55.96,43.72,4643600,,,,,,,,,,,,
65,2007-04-09,56.02,55.67,56.46,56.36,44.03,3592500,,,,,,,,,,,,
66,2007-04-10,56.2,56.1,56.8,56.41,44.07,4464600,,,,,,,,,,,,
67,2007-04-11,56.32,55.99,56.8,56.05,43.79,4512500,,,,,,,,,,,,
68,2007-04-12,56.09,55.55,56.58,56.51,44.15,5295000,,,,,,,,,,,,
69,2007-04-13,56.69,56.61,57.5,57.36,44.81,7326000,,,,,,,,,,,,
70,2007-04-16,57.48,57.47,58.72,58.56,45.75,6472300,,,,,,,,,,,,
71,2007-04-17,58.5,57.87,58.5,58.24,45.5,5115700,,,,,,,,,,,,
72,2007-04-18,58.35,58.04,58.53,58.44,45.66,8383700,,,,,,,,,,,,
73,2007-04-19,58.5,57.89,59.1,58.95,46.05,7119400,,,,,,,,,,,,
74,2007-04-20,60.04,59.7,61.16,61.0,47.66,14273800,,,,,,,,,,,,
75,2007-04-23,61.08,60.7,61.74,61.15,47.77,7559400,,,,,,,,,,,,
76,2007-04-24,61.15,60.55,61.31,60.91,47.59,8077200,,,,,,,,,,,,
77,2007-04-25,61.1,60.52,62.5,62.32,48.69,10412200,,,,,,,,,,,,
78,2007-04-26,62.15,61.4,62.74,62.14,48.55,9451300,,,,,,,,,,,,
79,2007-04-27,61.82,61.72,62.5,62.14,48.55,5486900,,,,,,,,,,,,
80,2007-04-30,62.07,60.63,62.48,60.67,47.4,9399800,,,,,,,,,,,,
81,2007-05-01,60.5,60.4,61.36,61.32,47.91,10965900,,,,,,,,,,,,
82,2007-05-02,61.51,61.41,62.78,62.74,49.01,8542000,,,,,,,,,,,,
83,2007-05-03,62.78,62.5,63.46,63.46,49.58,6629300,,,,,,,,,,,,
84,2007-05-04,63.5,63.11,63.67,63.39,49.52,3754300,,,,,,,,,,,,
85,2007-05-07,63.39,62.96,63.5,63.27,49.43,2837200,,,,,,,,,,,,
86,2007-05-08,62.98,62.65,63.3,63.27,49.43,3190000,,,,,,,,,,,,
87,2007-05-09,63.28,62.82,63.45,63.28,49.44,3213400,,,,,,,,,,,,
88,2007-05-10,63.0,62.24,63.22,62.75,49.02,5553100,,,,,,,,,,,,
89,2007-05-11,62.75,62.3,63.12,62.97,49.19,3434400,,,,,,,,,,,,
90,2007-05-14,62.92,62.35,63.14,62.42,48.76,4400500,,,,,,,,,,,,
91,2007-05-15,62.65,62.42,63.5,63.02,49.23,5757200,,,,,,,,,,,,
92,2007-05-16,63.42,63.22,64.0,63.98,49.98,5614400,,,,,,,,,,,,
93,2007-05-17,63.85,63.4,64.05,63.56,49.66,3041300,,,,,,,,,,,,
94,2007-05-18,63.8,63.75,64.28,63.96,49.97,4855300,,,,,,,,,,,,
95,2007-05-21,63.99,63.86,64.45,64.27,50.21,4981600,,,,,,,,,,,,
96,2007-05-22,64.24,63.94,64.5,64.27,50.21,3237300,,,,,,,,,,,,
97,2007-05-23,64.22,63.69,64.66,63.99,49.99,4596700,,,,,,,,,,,,
98,2007-05-24,64.5,63.93,64.79,64.02,50.01,6676200,,,,,,,,,,,,
99,2007-05-25,63.95,63.55,64.16,63.63,49.71,3606700,,,,,,,,,,,,
100,2007-05-29,63.8,63.75,64.38,64.34,50.26,3269200,,,,,,,,,,,,
101,2007-05-30,64.0,63.8,65.0,65.0,50.78,5704500,,,,,,,,,,,,
102,2007-05-31,64.96,64.66,65.1,64.98,50.76,4767400,,,,,,,,,,,,
103,2007-06-01,65.0,64.67,65.11,65.07,50.84,5078900,,,,,,,,,,,,
104,2007-06-04,64.78,64.73,65.24,65.02,50.8,3748500,,,,,,,,,,,,
