,Date,Open,Low,High,Close,Adj. Close,Volume,Shares Outstanding,Dividend Yield,Earnings Yield,FCF Yield,Market-Cap,P/Cash,P/E,P/FCF,P/NCAV,P/NetNet,P/Sales,Price to Book Value
0,2007-01-03,89.51,88.45,90.3,89.17,64.3,4871700,,,,,,,,,,,,
1,2007-01-04,88.34,87.01,89.83,89.53,64.56,2718900,,,,,,,,,,,,
2,2007-01-05,89.78,88.5,90.0,89.15,64.29,3285900,,,,,,,,,,,,
3,2007-01-08,88.31,87.56,89.41,88.94,64.13,2989000,,,,,,,,,,,,
4,2007-01-09,88.93,87.56,89.71,88.0,63.46,4193800,,,,,,,,,,,,
5,2007-01-10,88.04,88.0,89.34,89.27,64.37,3955200,,,,,,,,,,,,
6,2007-01-11,88.97,88.32,89.27,88.84,64.06,4048600,,,,,,,,,,,,
7,2007-01-12,88.54,87.5,88.85,88.13,63.55,3890500,,,,,,,,,,,,
8,2007-01-16,88.25,87.3,88.51,88.0,63.46,5537800,,,,,,,,,,,,
9,2007-01-17,87.91,87.22,89.54,88.83,64.06,4501400,,,,,,,,,,,,
10,2007-01-18,89.13,87.76,89.38,88.0,63.46,3348000,,,,,,,,,,,,
11,2007-01-19,88.34,87.8,89.1,88.63,63.91,4368900,,,,,,,,,,,,
12,2007-01-22,87.64,84.82,87.86,85.6,61.73,8426800,,,,,,,,,,,,
13,2007-01-23,85.01,85.0,88.18,87.36,63.0,6559700,,,,,,,,,,,,
14,2007-01-24,87.35,86.52,87.76,87.6,63.17,3368600,,,,,,,,,,,,
15,2007-01-25,87.3,86.0,87.46,86.16,62.13,2850300,,,,,,,,,,,,
16,2007-01-26,86.0,84.6,86.25,85.43,61.6,5149400,,,,,,,,,,,,
17,2007-01-29,85.05,85.0,86.0,85.5,61.65,3116500,,,,,,,,,,,,
18,2007-01-30,85.75,85.55,86.6,86.0,62.01,3151100,,,,,,,,,,,,
19,2007-01-31,89.25,89.0,90.34,89.56,64.58,11568600,,,,,,,,,,,,
20,2007-02-01,89.95,89.73,92.24,91.05,65.66,6622200,,,,,,,,,,,,
21,2007-02-02,91.05,89.95,91.48,90.05,64.94,5098100,,,,,,,,,,,,
22,2007-02-05,90.6,90.31,91.42,90.72,65.42,3028600,,,,,,,,,,,,
23,2007-02-06,90.8,89.9,91.0,90.63,65.35,3521700,,,,,,,,,,,,
24,2007-02-07,90.59,89.7,91.2,90.35,65.4,2813600,,,,,,,,,,,,
25,2007-02-08,89.74,88.55,90.36,89.52,64.8,5155600,,,,,,,,,,,,
26,2007-02-09,89.35,89.03,90.3,90.0,65.15,4282800,,,,,,,,,,,,
27,2007-02-12,89.55,88.78,89.89,89.2,64.57,3449200,,,,,,,,,,,,
28,2007-02-13,89.2,88.3,89.37,89.29,64.64,3009800,,,,,,,,,,,,
29,2007-02-14,89.27,89.27,90.17,89.94,65.11,3865800,,,,,,,,,,,,
30,2007-02-15,90.02,89.86,91.8,91.71,66.39,5702200,,,,,,,,,,,,
31,2007-02-16,91.98,90.73,92.0,90.94,65.83,4545500,,,,,,,,,,,,
32,2007-02-20,91.5,89.84,91.69,91.03,65.9,3940500,,,,,,,,,,,,
33,2007-02-21,90.3,90.05,92.0,90.96,65.85,4971700,,,,,,,,,,,,
