,Date,Open,Low,High,Close,Adj. Close,Volume,Shares Outstanding,Dividend Yield,Earnings Yield,FCF Yield,Market-Cap,P/Cash,P/E,P/FCF,P/NCAV,P/NetNet,P/Sales,Price to Book Value
0,2007-01-03,61.71,60.7,62.31,61.16,39.62,6134800,,,,,,,,,,,,
1,2007-01-04,61.25,60.34,61.28,61.0,39.52,4058900,,,,,,,,,,,,
2,2007-01-05,60.77,59.95,60.92,60.22,39.01,6267100,,,,,,,,,,,,
3,2007-01-08,60.09,59.86,60.57,60.29,39.06,3942900,,,,,,,,,,,,
4,2007-01-09,60.3,60.0,60.7,60.62,39.27,3928300,,,,,,,,,,,,
5,2007-01-10,60.19,59.85,60.39,60.32,39.08,6825100,,,,,,,,,,,,
6,2007-01-11,60.14,59.9,60.58,60.0,38.87,7440900,,,,,,,,,,,,
7,2007-01-12,59.66,59.2,59.9,59.74,38.7,6560800,,,,,,,,,,,,
8,2007-01-16,59.87,59.1,59.93,59.24,38.38,6842100,,,,,,,,,,,,
9,2007-01-17,59.3,59.25,60.68,59.61,38.62,7255600,,,,,,,,,,,,
10,2007-01-18,59.6,59.6,60.3,59.9,39.0,7027500,,,,,,,,,,,,
11,2007-01-19,60.1,59.28,60.2,59.37,38.65,5561400,,,,,,,,,,,,
12,2007-01-22,59.37,57.98,59.53,58.17,37.87,9881000,,,,,,,,,,,,
13,2007-01-23,58.43,58.17,59.56,59.56,38.78,8587300,,,,,,,,,,,,
14,2007-01-24,59.79,59.05,60.12,59.73,38.89,8014800,,,,,,,,,,,,
15,2007-01-25,59.85,59.38,60.12,59.63,38.82,7481400,,,,,,,,,,,,
16,2007-01-26,61.26,60.5,61.42,61.09,39.77,12450500,,,,,,,,,,,,
17,2007-01-29,61.29,61.07,62.29,61.7,40.17,9608800,,,,,,,,,,,,
18,2007-01-30,62.15,61.96,63.16,62.88,40.94,8941400,,,,,,,,,,,,
19,2007-01-31,63.15,62.98,64.34,64.07,41.71,9617800,,,,,,,,,,,,
20,2007-02-01,64.8,64.45,65.25,64.99,42.31,10272800,,,,,,,,,,,,
21,2007-02-02,65.0,64.55,65.37,65.25,42.48,5971000,,,,,,,,,,,,
22,2007-02-05,65.25,64.31,65.3,64.49,41.99,5253400,,,,,,,,,,,,
23,2007-02-06,64.5,64.32,64.95,64.42,41.94,4873100,,,,,,,,,,,,
24,2007-02-07,64.9,64.65,65.9,65.64,42.74,6546300,,,,,,,,,,,,
25,2007-02-08,65.58,64.86,65.85,65.63,42.73,4528600,,,,,,,,,,,,
26,2007-02-09,65.98,64.69,65.99,64.8,42.19,5576200,,,,,,,,,,,,
27,2007-02-12,64.75,64.28,65.18,64.6,42.06,4974700,,,,,,,,,,,,
28,2007-02-13,64.7,64.31,65.18,64.73,42.14,4965100,,,,,,,,,,,,
29,2007-02-14,65.45,65.17,66.48,66.16,43.07,7495500,,,,,,,,,,,,
30,2007-02-15,67.5,67.0,68.2,67.62,44.02,9566900,,,,,,,,,,,,
31,2007-02-16,67.58,67.3,68.04,67.67,44.06,4249900,,,,,,,,,,,,
32,2007-02-20,67.54,67.01,68.0,67.93,44.23,6964300,,,,,,,,,,,,
33,2007-02-21,67.59,67.33,68.36,68.21,44.41,7225300,,,,,,,,,,,,
34,2007-02-22,68.26,67.33,68.43,67.78,44.13,4989400,,,,,,,,,,,,
35,2007-02-23,67.51,67.07,67.66,67.26,43.79,3777200,,,,,,,,,,,,
36,2007-02-26,67.51,67.07,67.77,67.26,43.79,3990400,,,,,,,,,,,,
37,2007-02-27,65.75,63.51,66.17,64.83,42.21,10791600,,,,,,,,,,,,
38,2007-02-28,64.67,63.01,65.06,64.43,41.95,9555400,,,,,,,,,,,,
39,2007-03-01,63.9,62.75,64.29,63.9,41.6,7993700,,,,,,,,,,,,
40,2007-03-02,63.42,62.94,64.16,63.04,41.04,6037300,,,,,,,,,,,,
41,2007-03-05,62.35,62.34,63.8,63.17,41.13,6710700,,,,,,,,,,,,
42,2007-03-06,63.56,63.19,64.13,63.62,41.42,5360600,,,,,,,,,,,,
43,2007-03-07,63.73,63.63,64.65,64.23,41.82,5284300,,,,,,,,,,,,
44,2007-03-08,64.56,64.0,64.99,64.3,41.86,4206200,,,,,,,,,,,,
45,2007-03-09,64.46,64.01,64.8,64.4,41.93,3267700,,,,,,,,,,,,
46,2007-03-12,64.3,63.63,64.89,64.57,42.04,4949100,,,,,,,,,,,,
47,2007-03-13,64.4,63.18,64.65,63.34,41.24,6297900,,,,,,,,,,,,
48,2007-03-14,63.21,62.58,63.78,63.64,41.43,6611900,,,,,,,,,,,,
49,2007-03-15,63.49,63.17,63.91,63.46,41.32,4546400,,,,,,,,,,,,
50,2007-03-16,63.72,62.9,64.11,63.16,41.12,5239200,,,,,,,,,,,,
51,2007-03-19,64.65,63.89,64.75,64.17,41.78,5076000,,,,,,,,,,,,
52,2007-03-20,64.17,64.01,65.18,64.86,42.23,4730600,,,,,,,,,,,,
53,2007-03-21,65.1,64.99,66.45,66.21,43.11,5864200,,,,,,,,,,,,
54,2007-03-22,66.62,65.94,66.87,66.54,43.32,4674200,,,,,,,,,,,,
