,Date,Open,Low,High,Close,Adj. Close,Volume,Shares Outstanding,Dividend Yield,Earnings Yield,FCF Yield,Market-Cap,P/Cash,P/E,P/FCF,P/NCAV,P/NetNet,P/Sales,Price to Book Value
0,2007-01-03,9.14,8.91,9.23,9.02,9.02,4277200,,,,,,,,,,,,
1,2007-01-04,9.0,8.89,9.47,9.47,9.47,6430400,,,,,,,,,,,,
2,2007-01-05,9.38,9.28,9.99,9.88,9.88,11618800,,,,,,,,,,,,
3,2007-01-08,9.9,9.78,10.0,9.98,9.98,4814400,,,,,,,,,,,,
4,2007-01-09,10.0,9.86,10.11,9.99,9.99,4996000,,,,,,,,,,,,
5,2007-01-10,9.95,9.89,10.06,10.06,10.06,3575600,,,,,,,,,,,,
6,2007-01-11,10.04,10.0,10.66,10.44,10.44,10939200,,,,,,,,,,,,
7,2007-01-12,10.53,10.43,10.76,10.61,10.61,6449200,,,,,,,,,,,,
8,2007-01-16,10.67,10.57,11.08,10.82,10.83,9854800,,,,,,,,,,,,
9,2007-01-17,10.76,10.61,10.86,10.66,10.66,5239200,,,,,,,,,,,,
10,2007-01-18,10.64,10.21,10.64,10.36,10.36,6803200,,,,,,,,,,,,
11,2007-01-19,10.36,10.22,10.41,10.4,10.4,5058800,,,,,,,,,,,,
12,2007-01-22,10.43,10.21,10.47,10.3,10.3,6394800,,,,,,,,,,,,
13,2007-01-23,10.29,10.25,10.35,10.32,10.32,6068800,,,,,,,,,,,,
14,2007-01-24,10.35,10.35,10.7,10.61,10.61,9301600,,,,,,,,,,,,
15,2007-01-25,10.61,10.38,10.61,10.47,10.47,6468400,,,,,,,,,,,,
16,2007-01-26,10.51,10.49,10.69,10.56,10.56,4736400,,,,,,,,,,,,
17,2007-01-29,10.56,10.47,10.79,10.62,10.62,5254000,,,,,,,,,,,,
18,2007-01-30,10.71,10.7,10.87,10.74,10.74,5333600,,,,,,,,,,,,
19,2007-01-31,10.76,10.61,11.01,10.96,10.96,5612000,,,,,,,,,,,,
20,2007-02-01,11.05,11.05,11.39,11.35,11.35,10430400,,,,,,,,,,,,
21,2007-02-02,11.4,11.35,11.74,11.69,11.69,8889600,,,,,,,,,,,,
22,2007-02-05,11.69,11.51,11.84,11.78,11.78,5616800,,,,,,,,,,,,
23,2007-02-06,11.79,11.66,11.91,11.78,11.78,10726400,,,,,,,,,,,,
24,2007-02-07,11.8,11.77,12.04,11.92,11.92,10997600,,,,,,,,,,,,
25,2007-02-08,11.92,11.69,12.0,11.93,11.93,7385600,,,,,,,,,,,,
26,2007-02-09,11.86,11.7,11.99,11.75,11.75,6388800,,,,,,,,,,,,
27,2007-02-12,11.7,11.63,11.91,11.85,11.85,5591200,,,,,,,,,,,,
28,2007-02-13,11.88,11.88,12.23,12.12,12.12,7625200,,,,,,,,,,,,
29,2007-02-14,12.22,12.2,12.53,12.47,12.47,10212000,,,,,,,,,,,,
30,2007-02-15,12.5,12.33,12.51,12.4,12.4,8974000,,,,,,,,,,,,
31,2007-02-16,12.4,12.35,12.48,12.41,12.41,6041600,,,,,,,,,,,,
32,2007-02-20,12.5,12.35,12.61,12.36,12.36,10063600,,,,,,,,,,,,
33,2007-02-21,12.37,11.96,12.38,12.0,12.0,13291600,,,,,,,,,,,,
34,2007-02-22,11.44,11.31,12.12,11.79,11.79,20852400,,,,,,,,,,,,
35,2007-02-23,11.79,11.72,11.88,11.86,11.86,5260400,,,,,,,,,,,,
36,2007-02-26,11.75,11.65,11.87,11.72,11.73,9469600,,,,,,,,,,,,
37,2007-02-27,11.46,11.03,11.6,11.25,11.25,7687200,,,,,,,,,,,,
38,2007-02-28,11.25,10.76,11.25,10.81,10.81,13272400,,,,,,,,,,,,
39,2007-03-01,10.56,10.51,11.13,11.09,11.09,13634000,,,,,,,,,,,,
40,2007-03-02,10.99,10.6,11.15,10.66,10.66,7662400,,,,,,,,,,,,
41,2007-03-05,10.45,10.32,10.72,10.39,10.39,6251200,,,,,,,,,,,,
42,2007-03-06,10.57,10.56,10.84,10.79,10.79,5989200,,,,,,,,,,,,
43,2007-03-07,10.79,10.64,10.85,10.68,10.68,5326800,,,,,,,,,,,,
44,2007-03-08,10.8,10.76,11.07,10.92,10.92,6296800,,,,,,,,,,,,
45,2007-03-09,10.9,10.71,10.97,10.74,10.74,7335200,,,,,,,,,,,,
46,2007-03-12,10.72,10.66,10.9,10.83,10.83,3331600,,,,,,,,,,,,
47,2007-03-13,10.83,10.53,10.83,10.54,10.54,5493600,,,,,,,,,,,,
48,2007-03-14,10.58,10.19,10.62,10.5,10.5,6722400,,,,,,,,,,,,
49,2007-03-15,10.5,10.32,10.57,10.44,10.44,4462000,,,,,,,,,,,,
50,2007-03-16,10.4,10.34,10.47,10.41,10.41,2597200,,,,,,,,,,,,
51,2007-03-19,10.54,10.46,10.69,10.67,10.67,3654000,,,,,,,,,,,,
52,2007-03-20,10.67,10.61,10.82,10.78,10.78,3310000,,,,,,,,,,,,
53,2007-03-21,10.84,10.73,11.01,10.87,10.87,3855600,,,,,,,,,,,,
54,2007-03-22,10.86,10.76,10.94,10.86,10.86,3419200,,,,,,,,,,,,
55,2007-03-23,10.83,10.8,10.91,10.82,10.83,2744800,,,,,,,,,,,,
56,2007-03-26,10.76,10.63,10.81,10.76,10.76,3413600,,,,,,,,,,,,
57,2007-03-27,10.75,10.69,10.82,10.7,10.7,3686800,,,,,,,,,,,,
58,2007-03-28,10.68,10.56,10.87,10.74,10.74,3338400,,,,,,,,,,,,
59,2007-03-29,10.77,10.65,10.84,10.77,10.77,3395600,,,,,,,,,,,,
60,2007-03-30,10.72,10.64,10.87,10.71,10.71,3610800,,,,,,,,,,,,
61,2007-04-02,10.77,10.62,11.0,10.87,10.87,4144800,,,,,,,,,,,,
62,2007-04-03,10.98,10.96,11.27,11.22,11.22,5853200,,,,,,,,,,,,
63,2007-04-04,11.25,11.25,11.35,11.31,11.31,3476000,,,,,,,,,,,,
64,2007-04-05,11.35,11.2,11.35,11.25,11.25,2185200,,,,,,,,,,,,
65,2007-04-09,11.37,11.34,11.52,11.47,11.47,3719200,,,,,,,,,,,,
66,2007-04-10,11.43,11.36,11.48,11.43,11.43,3244800,,,,,,,,,,,,
67,2007-04-11,11.02,10.75,11.24,10.96,10.96,13078000,,,,,,,,,,,,
68,2007-04-12,10.95,10.54,11.08,10.68,10.68,15264000,,,,,,,,,,,,
69,2007-04-13,10.68,10.46,10.73,10.64,10.65,7035200,,,,,,,,,,,,
70,2007-04-16,10.67,10.65,10.82,10.81,10.81,6083200,,,,,,,,,,,,
71,2007-04-17,10.88,10.65,10.94,10.73,10.73,7706400,,,,,,,,,,,,
72,2007-04-18,10.73,10.56,10.73,10.58,10.58,7638800,,,,,,,,,,,,
73,2007-04-19,10.56,10.32,10.56,10.35,10.35,7721200,,,,,,,,,,,,
74,2007-04-20,10.35,10.3,10.49,10.44,10.44,6369200,,,,,,,,,,,,
75,2007-04-23,10.38,10.2,10.43,10.32,10.32,6510800,,,,,,,,,,,,
76,2007-04-24,10.26,10.19,10.37,10.27,10.27,4630000,,,,,,,,,,,,
77,2007-04-25,10.4,10.3,10.67,10.64,10.65,7439200,,,,,,,,,,,,
78,2007-04-26,10.68,10.55,10.74,10.65,10.65,5593600,,,,,,,,,,,,
79,2007-04-27,10.63,10.48,10.8,10.53,10.53,8167200,,,,,,,,,,,,
80,2007-04-30,10.51,10.44,10.61,10.5,10.5,4006800,,,,,,,,,,,,
81,2007-05-01,10.45,10.15,10.45,10.28,10.28,7380400,,,,,,,,,,,,
82,2007-05-02,10.24,10.15,10.4,10.32,10.32,5800400,,,,,,,,,,,,
83,2007-05-03,10.37,10.35,10.79,10.7,10.7,5596800,,,,,,,,,,,,
84,2007-05-04,10.76,10.7,10.98,10.76,10.76,5823200,,,,,,,,,,,,
85,2007-05-07,10.77,10.53,10.83,10.61,10.61,3881600,,,,,,,,,,,,
86,2007-05-08,10.77,10.52,10.88,10.84,10.84,3608800,,,,,,,,,,,,
87,2007-05-09,10.78,10.7,10.91,10.86,10.86,2157200,,,,,,,,,,,,
88,2007-05-10,10.8,10.62,10.83,10.65,10.65,2163200,,,,,,,,,,,,
89,2007-05-11,10.69,10.59,10.72,10.61,10.61,4174800,,,,,,,,,,,,
90,2007-05-14,10.61,10.56,11.07,10.79,10.79,7812800,,,,,,,,,,,,
91,2007-05-15,10.81,10.76,11.1,11.02,11.02,8039600,,,,,,,,,,,,
92,2007-05-16,11.1,11.04,11.56,11.31,11.31,13915600,,,,,,,,,,,,
93,2007-05-17,10.91,10.59,11.19,10.74,10.75,19213600,,,,,,,,,,,,
94,2007-05-18,10.78,10.69,11.62,11.45,11.45,22051200,,,,,,,,,,,,
95,2007-05-21,11.99,11.77,12.49,11.94,11.94,23118000,,,,,,,,,,,,
96,2007-05-22,12.05,11.74,12.11,11.78,11.78,6139200,,,,,,,,,,,,
97,2007-05-23,11.74,11.5,11.82,11.56,11.56,4421200,,,,,,,,,,,,
98,2007-05-24,11.32,11.04,11.44,11.21,11.22,10685600,,,,,,,,,,,,
99,2007-05-25,11.21,11.21,11.56,11.52,11.52,7043200,,,,,,,,,,,,
100,2007-05-29,11.46,11.35,11.71,11.47,11.48,5482400,,,,,,,,,,,,
101,2007-05-30,11.43,11.37,12.41,12.18,12.18,15481600,,,,,,,,,,,,
102,2007-05-31,12.35,11.79,12.35,11.81,11.81,8651200,,,,,,,,,,,,
103,2007-06-01,11.81,11.78,12.02,11.97,11.97,5761600,,,,,,,,,,,,
104,2007-06-04,12.06,11.63,12.06,11.77,11.77,6898000,,,,,,,,,,,,
105,2007-06-05,11.64,11.18,11.94,11.87,11.87,14661200,,,,,,,,,,,,
106,2007-06-06,11.85,11.46,11.87,11.62,11.62,5817600,,,,,,,,,,,,
107,2007-06-07,11.54,11.17,11.68,11.25,11.25,5972000,,,,,,,,,,,,
108,2007-06-08,11.35,11.25,11.58,11.56,11.56,5600800,,,,,,,,,,,,
109,2007-06-11,11.51,11.43,11.7,11.66,11.66,4005200,,,,,,,,,,,,
110,2007-06-12,11.53,11.3,11.6,11.34,11.34,3046400,,,,,,,,,,,,
111,2007-06-13,11.38,11.23,11.49,11.37,11.37,2712400,,,,,,,,,,,,
112,2007-06-14,11.32,11.26,11.43,11.37,11.37,3886400,,,,,,,,,,,,
113,2007-06-15,11.39,11.34,11.79,11.4,11.4,7145200,,,,,,,,,,,,
114,2007-06-18,11.4,11.18,11.54,11.21,11.21,5113200,,,,,,,,,,,,
115,2007-06-19,11.1,11.09,11.43,11.34,11.34,4096400,,,,,,,,,,,,
116,2007-06-20,11.37,11.16,11.38,11.22,11.22,4610800,,,,,,,,,,,,
117,2007-06-21,11.2,10.43,11.2,10.48,10.48,22410000,,,,,,,,,,,,
118,2007-06-22,10.61,10.07,10.64,10.14,10.14,15560000,,,,,,,,,,,,
119,2007-06-25,9.94,9.92,10.64,10.55,10.55,13568400,,,,,,,,,,,,
120,2007-06-26,10.55,10.2,10.55,10.26,10.26,8231600,,,,,,,,,,,,
121,2007-06-27,10.36,10.36,11.03,10.98,10.98,17513600,,,,,,,,,,,,
122,2007-06-28,10.98,10.85,11.28,10.85,10.85,11264400,,,,,,,,,,,,
123,2007-06-29,10.84,10.66,10.94,10.71,10.72,4509600,,,,,,,,,,,,
