,Date,Open,Low,High,Close,Adj. Close,Volume,Shares Outstanding,Dividend Yield,Earnings Yield,FCF Yield,Market-Cap,P/Cash,P/E,P/FCF,P/NCAV,P/NetNet,P/Sales,Price to Book Value
0,2007-01-03,27.45,27.33,27.98,27.73,19.7,64226000,,,,,,,,,,,,
1,2007-01-04,27.68,27.54,28.49,28.46,20.22,73012100,,,,,,,,,,,,
2,2007-01-05,28.44,28.05,28.57,28.47,20.23,62647800,,,,,,,,,,,,
3,2007-01-08,28.54,28.32,28.74,28.63,20.34,47936500,,,,,,,,,,,,
4,2007-01-09,28.72,28.31,28.75,28.47,20.23,50488300,,,,,,,,,,,,
5,2007-01-10,28.27,28.21,28.73,28.68,20.38,50632400,,,,,,,,,,,,
6,2007-01-11,28.77,28.61,28.99,28.69,20.39,54602200,,,,,,,,,,,,
7,2007-01-12,28.54,28.45,28.97,28.92,20.55,54588000,,,,,,,,,,,,
8,2007-01-16,28.59,28.0,28.59,28.04,19.92,75551500,,,,,,,,,,,,
9,2007-01-17,27.86,26.89,28.0,26.98,19.17,108858000,,,,,,,,,,,,
10,2007-01-18,27.13,26.27,27.15,26.45,18.79,80498300,,,,,,,,,,,,
11,2007-01-19,26.45,26.42,26.85,26.7,18.97,62266800,,,,,,,,,,,,
12,2007-01-22,26.75,26.15,26.8,26.53,18.85,69421400,,,,,,,,,,,,
13,2007-01-23,26.37,26.03,26.72,26.04,18.5,67695900,,,,,,,,,,,,
14,2007-01-24,26.23,26.19,26.95,26.89,19.11,63817000,,,,,,,,,,,,
15,2007-01-25,26.93,26.16,26.95,26.22,18.63,55317400,,,,,,,,,,,,
16,2007-01-26,26.16,25.76,26.54,26.35,18.72,64449600,,,,,,,,,,,,
17,2007-01-29,26.29,26.0,26.47,26.21,18.62,51536100,,,,,,,,,,,,
18,2007-01-30,26.29,26.03,26.34,26.25,18.65,45030400,,,,,,,,,,,,
19,2007-01-31,26.19,26.05,26.81,26.62,18.92,60517900,,,,,,,,,,,,
20,2007-02-01,26.67,26.36,26.99,26.59,18.89,55597200,,,,,,,,,,,,
21,2007-02-02,26.91,26.6,27.18,27.14,19.28,59427500,,,,,,,,,,,,
22,2007-02-05,27.42,27.23,27.67,27.51,19.55,61115800,,,,,,,,,,,,
23,2007-02-06,27.75,27.12,27.78,27.28,19.38,105179400,,,,,,,,,,,,
24,2007-02-07,28.62,28.08,28.85,28.09,19.96,128470500,,,,,,,,,,,,
25,2007-02-08,27.9,27.8,28.35,28.14,20.0,55285200,,,,,,,,,,,,
