,Date,Open,Low,High,Close,Adj. Close,Volume,Shares Outstanding,Dividend Yield,Earnings Yield,FCF Yield,Market-Cap,P/Cash,P/E,P/FCF,P/NCAV,P/NetNet,P/Sales,Price to Book Value
0,2007-01-03,73.22,70.55,73.25,70.97,38.83,12719600,2145518000.0,,,,,,,,,,,
1,2007-01-04,70.55,69.6,70.95,70.28,38.45,10825300,2145518000.0,,,,,,,,,,,
2,2007-01-05,70.28,70.12,71.12,70.55,38.6,9618000,2145518000.0,,,,,,,,,,,
3,2007-01-08,71.06,70.0,71.56,71.45,39.09,9435100,2145518000.0,,,,,,,,,,,
4,2007-01-09,70.98,69.85,71.34,70.63,38.64,10500000,2145518000.0,,,,,,,,,,,
5,2007-01-10,69.75,68.93,70.31,69.41,37.98,11936700,2145518000.0,,,,,,,,,,,
6,2007-01-11,69.32,68.48,71.14,68.69,37.58,12407200,2145518000.0,,,,,,,,,,,
7,2007-01-12,69.1,69.1,70.62,70.35,38.49,9345000,2145518000.0,,,,,,,,,,,
8,2007-01-16,70.07,69.23,70.7,69.67,38.12,8281700,2145518000.0,,,,,,,,,,,
9,2007-01-17,69.67,69.5,70.87,70.82,38.75,10545100,2145518000.0,,,,,,,,,,,
10,2007-01-18,70.83,70.02,71.84,70.92,38.8,10648300,2145518000.0,,,,,,,,,,,
11,2007-01-19,71.33,70.8,72.39,72.32,39.57,9983800,2145518000.0,,,,,,,,,,,
12,2007-01-22,72.51,70.95,72.6,71.22,38.97,11969100,2145518000.0,,,,,,,,,,,
13,2007-01-23,71.61,71.6,73.25,72.56,39.7,9268800,2145518000.0,,,,,,,,,,,
14,2007-01-24,72.49,71.7,73.25,72.84,39.85,7061700,2145518000.0,,,,,,,,,,,
15,2007-01-25,72.5,71.28,72.78,71.52,39.13,8441500,2145518000.0,,,,,,,,,,,
16,2007-01-26,71.89,71.23,72.37,71.5,39.12,7266600,2145518000.0,,,,,,,,,,,
17,2007-01-29,71.51,71.24,72.3,71.53,39.14,6323100,2145518000.0,,,,,,,,,,,
18,2007-01-30,71.95,71.85,73.07,73.07,39.98,6398000,2145518000.0,,,,,,,,,,,
19,2007-01-31,72.99,72.29,73.44,72.88,39.87,9757800,2145518000.0,,,,,,,,,,,
20,2007-02-01,73.25,73.1,74.96,74.47,40.74,10956200,2145518000.0,,,,,,,,,,,
21,2007-02-02,73.8,73.3,74.62,74.04,40.51,7377300,2145518000.0,,,,,,,,,,,
22,2007-02-05,74.05,73.46,74.29,73.78,40.37,8431500,2145518000.0,,,,,,,,,,,
23,2007-02-06,74.15,72.94,74.18,73.37,40.14,8374800,2145518000.0,,,,,,,,,,,
24,2007-02-07,73.7,72.54,74.09,72.64,39.74,9573100,2145518000.0,,,,,,,,,,,
25,2007-02-08,72.46,72.09,73.92,73.75,40.35,10159500,2145518000.0,,,,,,,,,,,
26,2007-02-09,73.93,73.06,74.0,73.32,40.11,6502300,2145518000.0,,,,,,,,,,,
27,2007-02-12,73.1,71.89,73.17,72.32,39.57,12468000,2145518000.0,,,,,,,,,,,
28,2007-02-13,72.73,72.47,72.96,72.83,39.85,7909300,2145518000.0,,,,,,,,,,,
29,2007-02-14,72.64,71.78,73.04,72.19,39.78,7907900,2145518000.0,,,,,,,,,,,
30,2007-02-15,71.92,71.16,72.06,71.36,39.32,10225000,2145518000.0,,,,,,,,,,,
31,2007-02-16,71.01,70.72,71.44,70.81,39.02,9619000,2145518000.0,,,,,,,,,,,
32,2007-02-20,70.65,70.02,70.65,70.12,38.64,9347500,2145518000.0,,,,,,,,,,,
33,2007-02-21,70.12,69.2,70.39,69.94,38.54,13256400,2145518000.0,,,,,,,,,,,
34,2007-02-22,70.02,69.84,70.96,70.67,38.94,8403100,2145518000.0,,,,,,,,,,,
35,2007-02-23,71.0,70.57,71.28,71.07,39.16,7862500,2145518000.0,,,,,,,,,,,
36,2007-02-26,71.42,71.13,72.02,71.41,39.35,7451800,2145518000.0,,,,,,,,,,,
37,2007-02-27,71.11,68.02,71.22,68.58,37.79,13910000,2145518000.0,,,,,,,,,,,
38,2007-02-28,68.59,68.36,69.75,68.52,37.76,14002600,2145518000.0,,,,,,,,,,,
39,2007-03-01,67.32,64.99,68.52,67.6,37.25,14150400,2145518000.0,,,,,,,,,,,
40,2007-03-02,66.9,66.32,67.75,66.79,36.81,10827100,2145518000.0,,,,,,,,,,,
41,2007-03-05,66.2,66.01,67.33,66.43,36.61,11700900,2145518000.0,,,,,,,,,,,
42,2007-03-06,67.25,66.77,67.71,67.67,37.29,11528000,2145518000.0,,,,,,,,,,,
43,2007-03-07,67.68,67.57,69.81,68.33,37.65,12789500,2145518000.0,,,,,,,,,,,
44,2007-03-08,68.95,67.99,69.06,68.46,37.73,10777500,2145518000.0,,,,,,,,,,,
45,2007-03-09,68.83,68.0,69.04,68.47,37.73,7668900,2145518000.0,,,,,,,,,,,
46,2007-03-12,68.35,68.06,69.2,68.83,37.93,9416400,2145518000.0,,,,,,,,,,,
47,2007-03-13,68.7,67.58,69.6,67.84,37.38,9446000,2145518000.0,,,,,,,,,,,
48,2007-03-14,68.39,67.08,68.64,68.32,37.65,11393700,2145518000.0,,,,,,,,,,,
49,2007-03-15,68.2,67.81,69.29,68.87,37.95,9996200,2145518000.0,,,,,,,,,,,
50,2007-03-16,69.24,67.76,69.5,68.08,37.52,12720300,2145518000.0,,,,,,,,,,,
51,2007-03-19,68.58,68.52,69.75,69.38,38.23,13988200,2145518000.0,,,,,,,,,,,
52,2007-03-20,69.39,69.19,70.14,70.05,38.6,8243100,2145518000.0,,,,,,,,,,,
53,2007-03-21,70.38,70.05,71.49,71.34,39.31,10162300,2145518000.0,,,,,,,,,,,
54,2007-03-22,71.28,71.28,73.46,72.93,40.19,13192000,2145518000.0,,,,,,,,,,,
55,2007-03-23,73.2,73.2,74.09,73.7,40.61,10883900,2145518000.0,,,,,,,,,,,
56,2007-03-26,74.11,73.51,74.55,74.4,41.0,10111300,2145518000.0,,,,,,,,,,,
57,2007-03-27,74.01,73.62,74.37,74.17,40.87,8548500,2145518000.0,,,,,,,,,,,
58,2007-03-28,74.47,73.76,74.68,74.08,40.82,10237200,2145518000.0,,,,,,,,,,,
59,2007-03-29,74.36,74.32,74.98,74.95,41.3,10247800,2145518000.0,,,,,,,,,,,
60,2007-03-30,74.66,73.38,74.81,73.96,40.76,8510300,2145518000.0,,,,,,,,,,,
61,2007-04-02,74.06,74.05,75.05,74.83,41.24,8192300,2145518000.0,,,,,,,,,,,
62,2007-04-03,74.61,74.47,75.59,75.34,41.52,9357500,2145518000.0,,,,,,,,,,,
63,2007-04-04,74.97,74.65,75.75,75.55,41.63,6622200,2145518000.0,,,,,,,,,,,
64,2007-04-05,75.56,75.32,75.9,75.61,41.67,6305100,2145518000.0,,,,,,,,,,,
65,2007-04-09,75.32,75.13,76.4,75.49,41.6,6408600,2145518000.0,,,,,,,,,,,
66,2007-04-10,75.79,75.65,77.22,77.04,42.45,8825600,2145518000.0,,,,,,,,,,,
67,2007-04-11,76.89,76.46,77.47,76.56,42.19,10747700,2145518000.0,,,,,,,,,,,
68,2007-04-12,76.75,76.29,77.23,77.17,42.53,8049600,2145518000.0,,,,,,,,,,,
69,2007-04-13,77.25,76.65,77.5,77.01,42.44,7265500,2145518000.0,,,,,,,,,,,
70,2007-04-16,77.25,76.68,77.97,77.87,42.91,8308200,2145518000.0,,,,,,,,,,,
71,2007-04-17,78.0,77.54,78.57,77.96,42.96,8811700,2145518000.0,,,,,,,,,,,
72,2007-04-18,77.55,77.3,78.12,77.77,42.86,7045400,2145518000.0,,,,,,,,,,,
73,2007-04-19,77.47,76.73,77.64,76.81,42.33,8013400,2145518000.0,,,,,,,,,,,
74,2007-04-20,77.29,77.06,78.63,78.45,43.23,15622000,2145518000.0,,,,,,,,,,,
75,2007-04-23,78.06,77.4,78.88,77.56,42.74,12242700,2145518000.0,,,,,,,,,,,
76,2007-04-24,77.11,76.91,77.81,77.1,42.49,9003600,2145518000.0,,,,,,,,,,,
77,2007-04-25,77.59,77.55,78.93,78.32,43.16,10924600,2145518000.0,,,,,,,,,,,
78,2007-04-26,78.17,77.3,78.38,78.18,43.08,10424500,2145518000.0,,,,,,,,,,,
79,2007-04-27,78.42,77.34,78.5,78.08,43.03,8119700,2145518000.0,,,,,,,,,,,
80,2007-04-30,78.32,77.76,79.07,77.79,42.87,11191300,2145518000.0,,,,,,,,,,,
81,2007-05-01,77.99,77.42,78.63,78.35,43.18,9242100,2145518000.0,,,,,,,,,,,
82,2007-05-02,78.48,78.08,78.98,78.64,43.34,6413800,2145518000.0,,,,,,,,,,,
83,2007-05-03,78.53,78.43,79.86,79.56,43.84,7087700,2145518000.0,,,,,,,,,,,
84,2007-05-04,79.71,78.8,80.35,79.3,43.7,7749200,2145518000.0,,,,,,,,,,,
85,2007-05-07,78.63,78.51,79.7,79.58,43.85,7298200,2145518000.0,,,,,,,,,,,
86,2007-05-08,79.01,78.87,80.19,80.05,44.11,7018200,2145518000.0,,,,,,,,,,,
87,2007-05-09,79.92,78.89,79.97,79.75,43.95,7409000,2145518000.0,,,,,,,,,,,
88,2007-05-10,79.52,78.15,79.68,78.19,43.09,7882900,2145518000.0,,,,,,,,,,,
89,2007-05-11,78.73,78.5,80.13,80.04,44.11,8427500,2145518000.0,,,,,,,,,,,
90,2007-05-14,80.0,79.83,80.94,80.87,44.56,12527500,2145518000.0,,,,,,,,,,,
91,2007-05-15,80.94,80.61,81.37,80.73,44.49,9846800,2145518000.0,,,,,,,,,,,
92,2007-05-16,80.15,79.61,80.93,80.73,44.81,9402800,2145518000.0,,,,,,,,,,,
93,2007-05-17,80.75,80.2,82.0,81.46,45.21,7783600,2145518000.0,,,,,,,,,,,
94,2007-05-18,81.85,81.8,82.92,82.85,45.98,11114500,2145518000.0,,,,,,,,,,,
95,2007-05-21,83.11,82.58,83.56,82.83,45.97,11359500,2145518000.0,,,,,,,,,,,
96,2007-05-22,82.83,82.04,83.23,82.18,45.61,9214900,2145518000.0,,,,,,,,,,,
97,2007-05-23,82.18,81.17,82.91,81.4,45.18,14228400,2145518000.0,,,,,,,,,,,
98,2007-05-24,81.67,79.75,81.88,79.97,44.39,13263200,2145518000.0,,,,,,,,,,,
99,2007-05-25,80.4,80.28,81.13,81.13,45.03,6839500,2145518000.0,,,,,,,,,,,
100,2007-05-29,80.98,80.0,81.0,80.71,44.8,7964700,2145518000.0,,,,,,,,,,,
101,2007-05-30,80.65,80.16,82.29,82.25,45.65,10776900,2145518000.0,,,,,,,,,,,
102,2007-05-31,82.15,81.02,82.36,81.49,45.23,11512700,2145518000.0,,,,,,,,,,,
103,2007-06-01,81.9,81.72,82.52,82.23,45.64,7346300,2145518000.0,,,,,,,,,,,
104,2007-06-04,82.2,82.0,83.25,83.13,46.14,7958100,2145518000.0,,,,,,,,,,,
105,2007-06-05,82.71,82.17,83.04,82.73,45.92,7402100,2145518000.0,,,,,,,,,,,
106,2007-06-06,82.73,81.37,82.73,81.79,45.4,7520900,2145518000.0,,,,,,,,,,,
107,2007-06-07,81.54,80.1,82.06,80.2,44.51,10980300,2145518000.0,,,,,,,,,,,
108,2007-06-08,80.01,79.12,80.74,80.69,44.78,8551500,2145518000.0,,,,,,,,,,,
109,2007-06-11,80.66,80.27,81.78,81.36,45.16,6784500,2145518000.0,,,,,,,,,,,
110,2007-06-12,81.35,80.5,81.81,80.56,44.71,7413800,2145518000.0,,,,,,,,,,,
111,2007-06-13,80.81,80.72,81.55,81.15,45.04,9948700,2145518000.0,,,,,,,,,,,
112,2007-06-14,81.41,81.4,82.55,82.33,45.69,8437000,2145518000.0,,,,,,,,,,,
113,2007-06-15,82.86,82.76,83.6,83.17,46.16,9432300,2145518000.0,,,,,,,,,,,
114,2007-06-18,83.27,83.27,84.0,83.39,46.28,5996000,2145518000.0,,,,,,,,,,,
115,2007-06-19,82.99,82.95,83.75,83.29,46.23,7033200,2145518000.0,,,,,,,,,,,
116,2007-06-20,83.6,80.76,83.7,80.97,44.94,11012500,2145518000.0,,,,,,,,,,,
117,2007-06-21,81.49,81.36,83.02,82.85,45.98,10058700,2145518000.0,,,,,,,,,,,
118,2007-06-22,82.85,81.5,82.94,81.55,45.26,13441500,2145518000.0,,,,,,,,,,,
119,2007-06-25,81.56,81.5,83.66,82.95,46.04,12688600,2145518000.0,,,,,,,,,,,
120,2007-06-26,83.49,82.37,83.78,82.7,45.9,13487200,2145518000.0,,,,,,,,,,,
121,2007-06-27,81.87,81.62,84.0,83.89,46.56,10245400,2145518000.0,,,,,,,,,,,
122,2007-06-28,84.89,83.84,84.89,84.18,46.72,8594200,2145518000.0,,,,,,,,,,,
123,2007-06-29,84.79,83.52,85.19,84.24,46.75,10730000,2145518000.0,,,,,,,,,,,
124,2007-07-02,84.7,84.41,85.28,85.15,47.26,8212100,2127763000.0,,,,,,,,,,,
125,2007-07-03,83.6,83.6,86.69,86.33,47.91,4605600,2127763000.0,,,,,,,,,,,
126,2007-07-05,86.79,85.51,87.14,86.57,48.05,8746800,2127763000.0,,,,,,,,,,,
127,2007-07-06,86.57,86.57,87.96,87.68,48.66,11725300,2127763000.0,,,,,,,,,,,
128,2007-07-09,87.55,87.45,89.8,89.5,49.67,10646500,2127763000.0,,,,,,,,,,,
129,2007-07-10,89.0,87.81,90.21,89.0,49.4,13871900,2127763000.0,,,,,,,,,,,
130,2007-07-11,89.48,88.71,90.87,90.75,50.37,12243200,2127763000.0,,,,,,,,,,,
131,2007-07-12,90.91,90.75,93.37,93.3,51.78,12604300,2127763000.0,,,,,,,,,,,
132,2007-07-13,93.48,92.88,95.0,93.33,51.8,9575600,2127763000.0,,,,,,,,,,,
133,2007-07-16,93.5,91.35,94.05,92.12,51.13,10496400,2127763000.0,,,,,,,,,,,
134,2007-07-17,93.08,90.7,93.08,91.1,50.56,9741600,2127763000.0,,,,,,,,,,,
135,2007-07-18,91.09,90.6,93.43,93.08,51.66,11378500,2127763000.0,,,,,,,,,,,
136,2007-07-19,93.46,92.48,93.73,93.0,51.62,8423900,2127763000.0,,,,,,,,,,,
137,2007-07-20,93.0,91.38,93.31,92.12,51.13,10331400,2127763000.0,,,,,,,,,,,
138,2007-07-23,92.17,91.15,93.16,92.57,51.38,9655600,2127763000.0,,,,,,,,,,,
139,2007-07-24,91.64,89.57,92.15,89.85,49.87,10963400,2127763000.0,,,,,,,,,,,
140,2007-07-25,89.86,88.45,91.69,91.05,50.53,14151400,2127763000.0,,,,,,,,,,,
141,2007-07-26,89.26,86.27,90.45,87.46,48.54,17050200,2127763000.0,,,,,,,,,,,
142,2007-07-27,88.31,84.6,88.94,85.2,47.29,17074500,2127763000.0,,,,,,,,,,,
143,2007-07-30,85.85,83.89,87.0,86.43,47.97,12117700,2127763000.0,,,,,,,,,,,
144,2007-07-31,86.26,85.16,87.45,85.26,47.32,11880000,2127763000.0,,,,,,,,,,,
145,2007-08-01,85.26,82.55,89.5,85.17,47.27,21528500,2127763000.0,,,,,,,,,,,
146,2007-08-02,84.51,82.59,86.0,83.89,46.56,15781800,2127763000.0,,,,,,,,,,,
147,2007-08-03,83.71,80.58,85.0,81.02,44.97,15550400,2127763000.0,,,,,,,,,,,
148,2007-08-06,81.19,78.39,82.08,82.02,45.52,17120400,2127763000.0,,,,,,,,,,,
149,2007-08-07,81.33,80.52,83.89,83.18,46.17,15323400,2127763000.0,,,,,,,,,,,
150,2007-08-08,82.98,82.98,85.63,84.33,46.8,14455100,2127763000.0,,,,,,,,,,,
151,2007-08-09,83.1,81.11,84.74,81.11,45.02,15584400,2127763000.0,,,,,,,,,,,
152,2007-08-10,80.14,79.41,83.73,83.42,46.3,13317300,2127763000.0,,,,,,,,,,,
153,2007-08-13,84.1,82.11,84.31,82.45,45.76,10532900,2127763000.0,,,,,,,,,,,
154,2007-08-14,83.06,82.11,83.7,82.45,45.76,15389400,2127763000.0,,,,,,,,,,,
155,2007-08-15,82.25,80.38,83.81,80.76,45.15,12249800,2127763000.0,,,,,,,,,,,
156,2007-08-16,79.79,78.25,81.96,81.39,45.5,19400800,2127763000.0,,,,,,,,,,,
157,2007-08-17,83.5,82.74,85.1,84.36,47.16,16210700,2127763000.0,,,,,,,,,,,
158,2007-08-20,84.0,83.02,85.55,84.89,47.45,9238500,2127763000.0,,,,,,,,,,,
159,2007-08-21,84.14,83.57,85.25,84.3,47.12,11327200,2127763000.0,,,,,,,,,,,
160,2007-08-22,84.81,84.35,85.56,85.39,47.73,10251000,2127763000.0,,,,,,,,,,,
161,2007-08-23,85.8,84.09,86.47,85.48,47.78,8665500,2127763000.0,,,,,,,,,,,
162,2007-08-24,85.9,85.9,87.53,87.22,48.76,7682700,2127763000.0,,,,,,,,,,,
163,2007-08-27,86.63,86.34,87.39,87.0,48.63,6390100,2127763000.0,,,,,,,,,,,
164,2007-08-28,86.6,84.3,86.73,84.3,47.12,10059100,2127763000.0,,,,,,,,,,,
165,2007-08-29,85.2,84.68,87.38,86.7,48.47,10047800,2127763000.0,,,,,,,,,,,
166,2007-08-30,86.7,85.54,87.6,87.19,48.74,7825700,2127763000.0,,,,,,,,,,,
167,2007-08-31,88.31,87.46,88.86,87.76,49.06,8155000,2127763000.0,,,,,,,,,,,
168,2007-09-04,87.19,87.16,89.27,88.73,49.6,9560000,2127763000.0,,,,,,,,,,,
169,2007-09-05,88.47,87.79,88.65,88.36,49.39,9141400,2127763000.0,,,,,,,,,,,
170,2007-09-06,88.48,88.11,89.33,88.93,49.71,8153100,2127763000.0,,,,,,,,,,,
171,2007-09-07,87.93,87.19,89.03,87.65,49.0,9780300,2127763000.0,,,,,,,,,,,
172,2007-09-10,87.56,85.91,88.29,87.05,48.66,10479000,2127763000.0,,,,,,,,,,,
173,2007-09-11,87.51,86.7,89.13,88.59,49.52,10124500,2127763000.0,,,,,,,,,,,
174,2007-09-12,88.42,88.28,89.84,89.19,49.86,11089100,2127763000.0,,,,,,,,,,,
175,2007-09-13,89.65,89.55,90.82,90.09,50.36,8966600,2127763000.0,,,,,,,,,,,
176,2007-09-14,89.4,89.37,91.27,90.65,50.67,7973300,2127763000.0,,,,,,,,,,,
177,2007-09-17,90.01,90.0,91.54,90.93,50.83,7733600,2127763000.0,,,,,,,,,,,
178,2007-09-18,91.2,90.95,93.53,93.34,52.18,9799900,2127763000.0,,,,,,,,,,,
179,2007-09-19,93.7,93.59,94.94,94.11,52.61,11383700,2127763000.0,,,,,,,,,,,
180,2007-09-20,94.02,93.75,94.63,94.17,52.64,8196500,2127763000.0,,,,,,,,,,,
181,2007-09-21,94.28,94.11,95.36,94.84,53.02,12637900,2127763000.0,,,,,,,,,,,
182,2007-09-24,95.0,94.19,95.5,94.35,52.74,9028600,2127763000.0,,,,,,,,,,,
183,2007-09-25,93.09,91.66,93.59,91.88,51.36,12501200,2127763000.0,,,,,,,,,,,
184,2007-09-26,93.18,91.47,93.32,92.51,51.71,11794400,2127763000.0,,,,,,,,,,,
185,2007-09-27,93.26,92.9,93.63,93.51,52.27,7408900,2127763000.0,,,,,,,,,,,
186,2007-09-28,93.55,93.0,94.4,93.58,52.31,8880700,2127763000.0,,,,,,,,,,,
187,2007-10-01,93.3,93.27,94.53,94.44,52.79,8942800,2109345000.0,,,,,,,,,,,
188,2007-10-02,93.92,91.82,93.99,92.56,51.74,9137300,2109345000.0,,,,,,,,,,,
