,Date,Open,Low,High,Close,Adj. Close,Volume,Shares Outstanding,Dividend Yield,Earnings Yield,FCF Yield,Market-Cap,P/Cash,P/E,P/FCF,P/NCAV,P/NetNet,P/Sales,Price to Book Value
0,2019-03-20,52.75,49.5,53.5,49.8,41.33,2350838,1223444930.0,0.09980990127130543,0.12482289188901333,0.05440997851572376,37180680000.0,13.42747562296858,8.011351001939238,18.378981710331193,-1.5398277147353598,-1.0378272459560927,0.7495500362873961,1.3293532124852514
1,2019-03-21,49.99,48.2,50.0,48.98,40.64,1764671,1223444930.0,0.1014808714436711,0.1269126177230066,0.05532088464849006,36568468000.0,13.206380642831345,7.879437190260719,18.07635590706871,-1.514473121842127,-1.0207385242355305,0.7372080477380857,1.3074642640065786
2,2019-03-22,48.8,48.16,49.95,48.6,40.33,844690,1223444930.0,0.10227434327800432,0.1279049386023223,0.05575343477537126,36284760000.0,13.103921993499458,7.8183063994828705,17.936114681166586,-1.5027234324525802,-1.0128193605113676,0.7314885896298686,1.2973206049554864
3,2019-03-25,48.6,48.0,49.4,49.15,40.79,440892,1223444930.0,0.10112986944681608,0.12647365241246925,0.05512954079517891,36695390000.0,13.252217407006139,7.906785175608705,18.139095402867028,-1.5197295618321873,-1.0242813080068665,0.7397667526812354,1.312002216739962
4,2019-03-26,49.0,48.18,49.75,48.85,40.54,504734,1223444930.0,0.10175093312816806,0.12725035856853353,0.05546810501705308,36471410000.0,13.171328999638858,7.8585240249946136,18.028378645575877,-1.5104534912614926,-1.0180293366456854,0.7352513910168536,1.3039940648575208
5,2019-03-27,49.0,49.0,50.78,50.1,41.57,1788588,1223444930.0,0.09921223719183653,0.12407544942261205,0.054084170261138584,37404660000.0,13.50836403033586,8.05961215255333,18.489698467622343,-1.5491037853060547,-1.044079217317274,0.7540653979517782,1.3373613643676927
6,2019-03-28,50.9,49.91,51.0,50.85,42.2,585438,1223444930.0,0.0977489298586236,0.12224542804469742,0.0532864686348681,37964610000.0,13.710585048754062,8.18026502908856,18.766490360850224,-1.5722939617327922,-1.0597091457202272,0.765353802112733,1.3573817440737959
7,2019-03-29,49.52,49.18,52.48,51.63,42.84,1769027,1223444930.0,0.09627218832676758,0.12039860577324933,0.052481443542185605,38546958000.0,13.920894907908993,8.305744020685198,19.054353929807217,-1.5964117452165991,-1.0759642712592985,0.7770937424401259,1.3782029389681434
8,2019-04-01,52.3,51.25,54.39,53.5,44.4,19663442,1223444930.0,0.07977446016530249,0.09605955692529368,0.07689767655946687,39975200000.0,13.021237785016288,10.410208333333333,13.004294079375406,-1.5416583108368684,-1.0675425946696575,0.8278667136082175,1.420279968734456
9,2019-04-02,55.12,54.3,57.39,56.25,46.68,17414153,1223444930.0,0.07587437544610992,0.0913633119200571,0.07313823459433738,42030000000.0,13.690553745928339,10.9453125,13.67273910214704,-1.6209024296182029,-1.122416279442397,0.8704206101020978,1.4932850138563205
10,2019-04-03,57.08,55.51,57.2,56.88,47.2,15066169,1223444930.0,0.07503399470540933,0.09035137650322102,0.07232815921117225,42500736000.0,13.843887947882738,11.067900000000002,13.825873780091086,-1.6390565368299268,-1.1349873417721519,0.8801693209352414,1.5100098060115115
11,2019-04-04,57.2,57.1,60.52,59.71,49.55,13311868,1223444930.0,0.07147770254301931,0.08606910560213049,0.06890011214087217,44615312000.0,14.532674918566777,11.618570833333335,14.51376447625244,-1.720605939066718,-1.1914573519200982,0.9239611489634891,1.5851386342641938
12,2019-04-05,58.39,56.27,58.98,57.24,47.5,17000788,1223444930.0,0.07456208278902311,0.08978312885225737,0.07187326512808312,42769728000.0,13.931507491856678,11.137950000000002,13.913379310344828,-1.6494303123794833,-1.1421708059605833,0.8857400128398948,1.519566830100192
13,2019-04-08,56.5,56.27,58.39,57.15,47.42,10764569,1223444930.0,0.07467950339184047,0.08992451960635542,0.07198645137237931,42702480000.0,13.909602605863192,11.1204375,13.891502927781392,-1.646836868492094,-1.1403749399134753,0.8843473398637314,1.5171775740780218
14,2019-04-09,56.8,56.08,57.2,56.27,46.69,9179922,1223444930.0,0.07584740747900627,0.09133083873295204,0.07311223913153506,42044944000.0,13.695421498371337,10.949204166666668,13.67760052049447,-1.6214787504820671,-1.1228153607861988,0.8707300929856897,1.4938159596390252
15,2019-04-10,55.99,55.1,56.41,55.71,46.23,9081860,1223444930.0,0.07660982981230809,0.0922489013732402,0.07384716740139073,41626512000.0,13.559124429967428,10.8402375,13.541480806766428,-1.605341766293868,-1.11164108315975,0.8620645722451177,1.4789494777232999
16,2019-04-11,55.7,54.83,56.21,54.89,45.55,7346094,1223444930.0,0.07775430167323161,0.09362700483700513,0.07495036793462338,41013808000.0,13.359546579804562,10.680679166666668,13.342162654521795,-1.5817126108754338,-1.0952787480638786,0.8493757740178516,1.4571807006324167
17,2019-04-12,55.93,55.93,58.33,58.3,48.38,9281662,1223444930.0,0.07320640855649542,0.08815070832767087,0.0705664784893907,43561760000.0,14.189498371335505,11.344208333333333,14.17103448275862,-1.6799753181642885,-1.1633221171820753,0.9021426056702632,1.5477069565835286
