,Date,Open,Low,High,Close,Adj. Close,Volume,Shares Outstanding,Dividend Yield,Earnings Yield,FCF Yield,Market-Cap,P/Cash,P/E,P/FCF,P/NCAV,P/NetNet,P/Sales,Price to Book Value
0,2007-01-03,200.6,197.82,203.32,200.72,159.97,6494900,,,,,,,,,,,,
1,2007-01-04,200.45,198.07,200.67,198.85,158.48,6460200,,,,,,,,,,,,
2,2007-01-05,198.43,197.9,200.0,199.05,158.64,5892900,,,,,,,,,,,,
3,2007-01-08,199.05,198.1,203.95,203.73,162.37,7851000,,,,,,,,,,,,
4,2007-01-09,203.54,202.0,204.9,204.08,162.64,7147100,,,,,,,,,,,,
5,2007-01-10,202.4,201.5,208.44,208.11,165.86,8025700,,,,,,,,,,,,
6,2007-01-11,208.34,207.6,213.17,211.88,168.86,9039400,,,,,,,,,,,,
7,2007-01-12,212.05,210.4,214.22,213.99,170.54,6618900,,,,,,,,,,,,
8,2007-01-16,200.0,200.0,215.13,213.59,170.22,5846600,,,,,,,,,,,,
9,2007-01-17,212.2,210.85,214.09,213.23,169.94,5306300,,,,,,,,,,,,
10,2007-01-18,213.75,209.1,214.81,209.33,166.83,6423200,,,,,,,,,,,,
11,2007-01-19,209.08,208.84,211.44,210.29,167.87,5333700,,,,,,,,,,,,
12,2007-01-22,211.09,209.6,213.25,212.97,170.01,4980700,,,,,,,,,,,,
13,2007-01-23,212.82,210.65,213.42,212.64,169.75,6293400,,,,,,,,,,,,
14,2007-01-24,213.51,213.03,220.17,220.1,175.7,6386800,,,,,,,,,,,,
15,2007-01-25,219.83,212.51,220.51,213.07,170.09,7853800,,,,,,,,,,,,
16,2007-01-26,214.56,210.6,214.9,213.5,170.44,7458200,,,,,,,,,,,,
17,2007-01-29,213.9,210.13,215.08,211.04,168.47,5890700,,,,,,,,,,,,
18,2007-01-30,211.5,208.37,212.31,208.78,166.67,6001000,,,,,,,,,,,,
19,2007-01-31,208.3,207.29,212.75,212.16,169.37,7235100,,,,,,,,,,,,
20,2007-02-01,213.25,209.73,213.9,212.0,169.24,5734500,,,,,,,,,,,,
21,2007-02-02,211.0,211.0,213.9,213.43,170.38,3527000,,,,,,,,,,,,
22,2007-02-05,213.14,211.5,213.72,212.55,169.68,2995700,,,,,,,,,,,,
23,2007-02-06,213.29,212.7,215.86,214.65,171.35,3803100,,,,,,,,,,,,
24,2007-02-07,215.03,213.1,215.85,213.55,170.48,3621700,,,,,,,,,,,,
25,2007-02-08,212.4,209.81,215.21,213.9,170.75,5410500,,,,,,,,,,,,
26,2007-02-09,215.77,210.58,219.26,213.28,170.26,9109300,,,,,,,,,,,,
27,2007-02-12,213.75,209.87,214.0,211.13,168.54,5384400,,,,,,,,,,,,
28,2007-02-13,212.5,210.47,213.3,212.53,169.66,4022000,,,,,,,,,,,,
29,2007-02-14,213.7,212.79,219.1,217.4,173.55,7696400,,,,,,,,,,,,
30,2007-02-15,217.94,216.41,218.84,216.82,173.09,3627200,,,,,,,,,,,,
31,2007-02-16,215.96,215.02,217.5,216.92,173.17,3118500,,,,,,,,,,,,
32,2007-02-20,218.33,215.97,221.9,220.94,176.37,6225500,,,,,,,,,,,,
33,2007-02-21,219.25,218.16,221.5,220.15,175.74,5225500,,,,,,,,,,,,
34,2007-02-22,221.0,218.0,222.75,218.97,174.8,4273400,,,,,,,,,,,,
35,2007-02-23,219.16,215.55,219.8,216.5,172.83,5507400,,,,,,,,,,,,
36,2007-02-26,217.99,212.66,218.37,214.0,170.83,5552700,,,,,,,,,,,,
37,2007-02-27,208.55,194.65,210.4,199.76,159.47,18817600,,,,,,,,,,,,
38,2007-02-28,200.4,197.79,203.85,201.75,161.06,15940000,,,,,,,,,,,,
39,2007-03-01,196.0,194.08,202.7,199.66,159.39,14141300,,,,,,,,,,,,
40,2007-03-02,198.21,195.59,200.92,195.67,156.2,9842200,,,,,,,,,,,,
41,2007-03-05,193.05,189.85,197.49,190.0,151.68,13391800,,,,,,,,,,,,
42,2007-03-06,194.75,193.7,198.2,197.37,157.56,10796300,,,,,,,,,,,,
43,2007-03-07,197.48,195.5,199.0,195.59,156.14,8459500,,,,,,,,,,,,
44,2007-03-08,198.17,198.0,202.02,199.94,159.61,10789400,,,,,,,,,,,,
45,2007-03-09,202.95,198.86,202.99,201.7,161.02,7676900,,,,,,,,,,,,
46,2007-03-12,200.0,198.86,202.89,202.6,161.73,9623200,,,,,,,,,,,,
47,2007-03-13,204.15,198.52,208.56,199.03,158.88,31973100,,,,,,,,,,,,
48,2007-03-14,200.0,197.54,202.16,200.15,159.78,20394300,,,,,,,,,,,,
49,2007-03-15,200.0,199.5,202.37,200.89,160.37,9741600,,,,,,,,,,,,
50,2007-03-16,200.91,198.27,201.05,199.0,158.86,10875200,,,,,,,,,,,,
51,2007-03-19,201.9,200.44,202.5,202.44,161.61,8186200,,,,,,,,,,,,
52,2007-03-20,202.49,202.0,204.43,204.0,162.85,6641900,,,,,,,,,,,,
53,2007-03-21,205.89,204.16,211.51,210.95,168.4,10934100,,,,,,,,,,,,
54,2007-03-22,211.6,209.29,211.75,210.08,167.71,8016100,,,,,,,,,,,,
55,2007-03-23,209.83,209.71,211.89,211.89,169.15,5106800,,,,,,,,,,,,
56,2007-03-26,212.01,209.3,212.22,211.73,169.02,6525100,,,,,,,,,,,,
57,2007-03-27,210.83,209.74,211.73,209.87,167.54,4806100,,,,,,,,,,,,
58,2007-03-28,207.96,206.19,208.67,206.76,165.06,7991200,,,,,,,,,,,,
59,2007-03-29,208.09,206.3,208.89,207.2,165.41,6380800,,,,,,,,,,,,
60,2007-03-30,207.36,204.7,209.03,206.63,164.95,5177000,,,,,,,,,,,,
61,2007-04-02,207.45,203.29,207.68,205.65,164.17,5797000,,,,,,,,,,,,
62,2007-04-03,207.0,206.47,209.75,209.75,167.44,5015300,,,,,,,,,,,,
63,2007-04-04,209.45,208.21,209.95,208.79,166.68,4141600,,,,,,,,,,,,
64,2007-04-05,208.5,207.41,208.5,207.93,165.99,3010800,,,,,,,,,,,,
65,2007-04-09,208.57,207.45,209.87,208.94,166.8,3610500,,,,,,,,,,,,
66,2007-04-10,208.3,208.21,209.81,209.05,166.88,3002700,,,,,,,,,,,,
67,2007-04-11,208.7,206.61,208.87,206.93,165.19,5550400,,,,,,,,,,,,
