,Date,Open,Low,High,Close,Adj. Close,Volume,Shares Outstanding,Dividend Yield,Earnings Yield,FCF Yield,Market-Cap,P/Cash,P/E,P/FCF,P/NCAV,P/NetNet,P/Sales,Price to Book Value
0,2007-01-03,41.3,40.96,41.84,41.07,27.59,50853600,,,,,,,,,,,,
1,2007-01-04,41.0,40.38,41.18,40.57,27.26,22319400,,,,,,,,,,,,
2,2007-01-05,40.44,39.72,40.63,39.79,26.73,21676500,,,,,,,,,,,,
3,2007-01-08,39.94,39.25,39.95,39.49,26.53,17465300,,,,,,,,,,,,
4,2007-01-09,39.5,39.22,39.85,39.32,26.42,20341100,,,,,,,,,,,,
5,2007-01-10,39.32,39.06,39.93,39.78,26.72,15324600,,,,,,,,,,,,
6,2007-01-11,39.65,39.65,40.19,40.08,26.93,12149100,,,,,,,,,,,,
7,2007-01-12,39.95,39.85,40.37,40.11,26.95,11218600,,,,,,,,,,,,
8,2007-01-16,40.0,39.92,40.42,40.29,27.07,12639900,,,,,,,,,,,,
9,2007-01-17,40.19,40.09,40.47,40.29,27.07,12729000,,,,,,,,,,,,
10,2007-01-18,40.49,40.01,40.94,40.87,27.46,18810000,,,,,,,,,,,,
11,2007-01-19,40.97,40.45,40.98,40.55,27.24,12125900,,,,,,,,,,,,
12,2007-01-22,40.41,39.98,40.66,40.05,26.91,14165800,,,,,,,,,,,,
13,2007-01-23,40.03,40.0,40.61,40.43,27.16,11380400,,,,,,,,,,,,
14,2007-01-24,40.52,40.42,40.79,40.69,27.34,9835700,,,,,,,,,,,,
15,2007-01-25,40.53,40.01,40.67,40.09,26.93,11086200,,,,,,,,,,,,
16,2007-01-26,40.12,39.64,40.22,39.94,26.83,9797400,,,,,,,,,,,,
17,2007-01-29,40.2,39.84,40.52,39.91,26.81,12147600,,,,,,,,,,,,
18,2007-01-30,40.11,40.01,40.38,40.17,26.99,8671700,,,,,,,,,,,,
19,2007-01-31,39.97,39.95,40.95,40.74,27.37,11630100,,,,,,,,,,,,
20,2007-02-01,40.9,40.69,41.18,41.08,27.6,12544200,,,,,,,,,,,,
21,2007-02-02,40.9,40.61,41.14,40.83,27.43,9928300,,,,,,,,,,,,
22,2007-02-05,40.67,40.54,41.23,41.03,27.56,9017400,,,,,,,,,,,,
23,2007-02-06,41.09,40.91,41.38,41.27,27.73,8096800,,,,,,,,,,,,
24,2007-02-07,41.2,41.02,41.46,41.36,27.79,8347100,,,,,,,,,,,,
25,2007-02-08,41.22,40.94,41.27,41.09,27.6,11976500,,,,,,,,,,,,
26,2007-02-09,41.22,40.91,41.42,41.0,27.54,9320000,,,,,,,,,,,,
27,2007-02-12,41.65,41.27,42.01,41.44,27.84,18480700,,,,,,,,,,,,
28,2007-02-13,41.44,41.18,41.84,41.76,28.05,13173700,,,,,,,,,,,,
29,2007-02-14,41.72,41.5,41.96,41.73,28.03,20514700,,,,,,,,,,,,
30,2007-02-15,41.57,41.32,41.85,41.66,27.99,10828700,,,,,,,,,,,,
31,2007-02-16,41.6,41.2,41.66,41.44,27.84,11035300,,,,,,,,,,,,
32,2007-02-20,40.75,40.7,41.8,41.34,27.77,17903400,,,,,,,,,,,,
33,2007-02-21,40.89,40.65,41.42,41.3,27.75,11916800,,,,,,,,,,,,
34,2007-02-22,41.1,40.99,41.3,41.18,27.66,9484700,,,,,,,,,,,,
35,2007-02-23,41.35,40.81,41.49,40.96,27.52,13729700,,,,,,,,,,,,
36,2007-02-26,41.0,40.31,41.0,40.79,27.4,12198400,,,,,,,,,,,,
37,2007-02-27,40.49,39.56,40.52,39.82,26.75,23480300,,,,,,,,,,,,
38,2007-02-28,39.29,39.29,39.85,39.59,26.6,26115700,,,,,,,,,,,,
39,2007-03-01,39.17,38.66,39.65,39.45,26.5,21139500,,,,,,,,,,,,
40,2007-03-02,39.33,38.97,39.38,39.01,26.21,19521700,,,,,,,,,,,,
41,2007-03-05,38.75,38.59,39.2,38.67,25.98,22835500,,,,,,,,,,,,
42,2007-03-06,38.57,38.43,39.02,38.8,26.22,17472800,,,,,,,,,,,,
43,2007-03-07,38.7,38.52,38.99,38.71,26.16,12320700,,,,,,,,,,,,
