,Date,Open,Low,High,Close,Adj. Close,Volume,Shares Outstanding,Dividend Yield,Earnings Yield,FCF Yield,Market-Cap,P/Cash,P/E,P/FCF,P/NCAV,P/NetNet,P/Sales,Price to Book Value
0,2007-01-03,43.15,43.02,43.79,43.23,30.22,3656531,,,,,,,,,,,,
1,2007-01-04,42.84,42.54,43.33,43.21,30.21,2742868,,,,,,,,,,,,
2,2007-01-05,43.02,42.45,43.24,42.79,29.92,3166678,,,,,,,,,,,,
3,2007-01-08,42.79,42.47,43.18,43.05,30.1,2701447,,,,,,,,,,,,
4,2007-01-09,43.2,42.81,43.45,43.36,30.31,3172938,,,,,,,,,,,,
5,2007-01-10,43.03,42.77,43.22,43.09,30.13,2420785,,,,,,,,,,,,
6,2007-01-11,43.32,43.28,44.08,43.81,30.63,3171686,,,,,,,,,,,,
7,2007-01-12,43.71,43.17,43.8,43.67,30.53,2779385,,,,,,,,,,,,
8,2007-01-16,43.53,43.34,43.81,43.72,30.57,2457929,,,,,,,,,,,,
9,2007-01-17,43.59,43.44,43.99,43.65,30.52,2827901,,,,,,,,,,,,
10,2007-01-18,42.88,42.88,43.8,43.17,30.18,3673434,,,,,,,,,,,,
11,2007-01-19,43.48,43.19,43.68,43.41,30.35,3866141,,,,,,,,,,,,
12,2007-01-22,43.2,42.14,43.38,42.42,29.66,4801297,,,,,,,,,,,,
13,2007-01-23,42.54,42.5,42.99,42.61,29.79,4714177,,,,,,,,,,,,
14,2007-01-24,42.55,42.41,43.0,42.57,29.76,2829362,,,,,,,,,,,,
15,2007-01-25,42.62,42.06,42.89,42.36,29.62,2999637,,,,,,,,,,,,
16,2007-01-26,42.27,41.35,42.65,42.3,29.57,5346866,,,,,,,,,,,,
17,2007-01-29,42.29,42.08,42.69,42.39,29.64,4053214,,,,,,,,,,,,
18,2007-01-30,42.39,42.39,43.35,43.26,30.25,4523348,,,,,,,,,,,,
19,2007-01-31,43.26,42.92,43.98,43.79,30.62,4047893,,,,,,,,,,,,
20,2007-02-01,43.89,43.62,44.1,44.02,30.78,3804166,,,,,,,,,,,,
21,2007-02-02,44.22,43.99,44.28,44.24,30.93,2887998,,,,,,,,,,,,
22,2007-02-05,44.07,43.77,44.2,44.11,30.84,3197561,,,,,,,,,,,,
23,2007-02-06,44.11,44.0,44.68,44.68,31.24,3661018,,,,,,,,,,,,
24,2007-02-07,44.69,44.37,44.81,44.63,31.21,3365541,,,,,,,,,,,,
25,2007-02-08,44.46,44.17,44.78,44.63,31.21,3060777,,,,,,,,,,,,
26,2007-02-09,44.76,44.16,44.81,44.32,30.98,3325789,,,,,,,,,,,,
27,2007-02-12,44.47,44.02,44.49,44.17,30.88,3046170,,,,,,,,,,,,
28,2007-02-13,44.19,44.12,44.65,44.58,31.17,3966198,,,,,,,,,,,,
29,2007-02-14,44.58,44.28,45.67,45.56,31.86,4698944,,,,,,,,,,,,
30,2007-02-15,45.41,45.19,45.7,45.59,31.88,3478431,,,,,,,,,,,,
31,2007-02-16,45.96,45.44,46.01,45.84,32.05,3996142,,,,,,,,,,,,
32,2007-02-20,45.99,45.81,46.27,46.12,32.24,4480153,,,,,,,,,,,,
33,2007-02-21,45.98,45.81,46.43,46.3,32.37,3878557,,,,,,,,,,,,
34,2007-02-22,46.29,45.89,46.48,45.95,32.12,5717360,,,,,,,,,,,,
