,Date,Open,Low,High,Close,Adj. Close,Volume,Shares Outstanding,Dividend Yield,Earnings Yield,FCF Yield,Market-Cap,P/Cash,P/E,P/FCF,P/NCAV,P/NetNet,P/Sales,Price to Book Value
0,2007-01-03,92.9,92.03,94.07,92.99,57.35,9619853,,,,,,,,,,,,
1,2007-01-04,92.69,92.62,94.45,93.99,57.97,11008627,,,,,,,,,,,,
2,2007-01-05,93.31,92.65,93.64,93.14,57.44,7553480,,,,,,,,,,,,
3,2007-01-08,94.17,94.02,95.12,94.55,58.32,10815640,,,,,,,,,,,,
4,2007-01-09,94.88,94.71,95.92,95.67,59.01,11619177,,,,,,,,,,,,
5,2007-01-10,94.67,93.62,94.69,94.54,58.31,9147061,,,,,,,,,,,,
6,2007-01-11,95.46,94.17,95.51,94.31,58.17,8368732,,,,,,,,,,,,
7,2007-01-12,94.64,94.17,95.31,94.97,58.58,6941779,,,,,,,,,,,,
8,2007-01-16,95.03,94.93,96.41,96.39,59.45,10043901,,,,,,,,,,,,
9,2007-01-17,96.26,95.51,96.46,95.62,58.98,8577932,,,,,,,,,,,,
10,2007-01-18,95.4,94.56,95.55,95.08,58.64,15309361,,,,,,,,,,,,
11,2007-01-19,90.82,90.39,92.59,91.94,56.71,27233447,,,,,,,,,,,,
12,2007-01-22,92.18,91.89,92.95,92.84,57.26,14162108,,,,,,,,,,,,
13,2007-01-23,92.65,91.97,93.1,92.81,57.24,10812920,,,,,,,,,,,,
14,2007-01-24,92.87,92.33,93.29,93.12,57.43,5962200,,,,,,,,,,,,
15,2007-01-25,92.94,92.94,93.61,93.22,57.5,6486560,,,,,,,,,,,,
16,2007-01-26,93.2,92.58,93.53,93.16,57.46,6036571,,,,,,,,,,,,
17,2007-01-29,93.79,93.16,94.32,94.21,58.1,7630361,,,,,,,,,,,,
18,2007-01-30,94.28,94.17,95.08,95.0,58.59,7508083,,,,,,,,,,,,
19,2007-01-31,94.46,94.02,95.11,94.79,58.46,6728500,,,,,,,,,,,,
20,2007-02-01,94.62,93.65,94.82,94.65,58.37,6914792,,,,,,,,,,,,
21,2007-02-02,94.74,94.53,95.34,94.81,58.48,6962490,,,,,,,,,,,,
22,2007-02-05,94.81,94.55,96.02,95.97,59.19,8561301,,,,,,,,,,,,
23,2007-02-06,95.6,95.16,95.98,95.17,58.7,6833309,,,,,,,,,,,,
24,2007-02-07,95.41,94.76,95.95,95.16,58.87,8052317,,,,,,,,,,,,
25,2007-02-08,94.55,94.31,95.35,95.24,58.92,6435201,,,,,,,,,,,,
26,2007-02-09,94.98,93.51,95.32,94.22,58.28,6381018,,,,,,,,,,,,
27,2007-02-12,94.46,93.9,94.84,94.24,58.3,5576226,,,,,,,,,,,,
28,2007-02-13,94.26,93.5,94.4,93.97,58.13,5965129,,,,,,,,,,,,
29,2007-02-14,94.17,93.93,95.06,94.84,58.67,5904461,,,,,,,,,,,,
30,2007-02-15,94.7,94.15,95.14,94.57,58.5,5824756,,,,,,,,,,,,
31,2007-02-16,94.76,94.29,94.89,94.64,58.54,5021532,,,,,,,,,,,,
32,2007-02-20,94.32,94.22,95.09,94.98,58.76,4313913,,,,,,,,,,,,
33,2007-02-21,94.55,94.36,95.0,94.73,58.6,4500310,,,,,,,,,,,,
34,2007-02-22,94.46,93.47,95.12,94.17,58.26,6171505,,,,,,,,,,,,
35,2007-02-23,94.07,93.13,94.11,93.43,57.8,6648167,,,,,,,,,,,,
