,Date,Open,Low,High,Close,Adj. Close,Volume,Shares Outstanding,Dividend Yield,Earnings Yield,FCF Yield,Market-Cap,P/Cash,P/E,P/FCF,P/NCAV,P/NetNet,P/Sales,Price to Book Value
0,2007-01-03,20.45,20.14,20.88,20.35,12.63,69001200,5766000000.0,,,,,,,,,,,
1,2007-01-04,20.63,20.56,21.33,21.17,13.13,88902300,5766000000.0,,,,,,,,,,,
2,2007-01-05,21.09,20.76,21.15,21.1,13.09,64550800,5766000000.0,,,,,,,,,,,
3,2007-01-08,21.25,20.95,21.34,21.01,13.04,52839100,5766000000.0,,,,,,,,,,,
4,2007-01-09,21.18,20.86,21.21,21.03,13.05,54381000,5766000000.0,,,,,,,,,,,
5,2007-01-10,21.09,21.03,21.62,21.52,13.35,76346900,5766000000.0,,,,,,,,,,,
6,2007-01-11,21.61,21.03,22.05,21.92,13.6,99263900,5766000000.0,,,,,,,,,,,
7,2007-01-12,21.79,21.62,22.15,22.13,13.73,90707700,5766000000.0,,,,,,,,,,,
8,2007-01-16,22.1,21.78,22.3,22.3,13.84,132197800,5766000000.0,,,,,,,,,,,
9,2007-01-17,21.25,20.78,21.5,21.04,13.05,192479200,5766000000.0,,,,,,,,,,,
10,2007-01-18,20.89,20.5,20.9,20.65,12.81,101259500,5766000000.0,,,,,,,,,,,
11,2007-01-19,20.62,20.6,20.87,20.82,12.92,64459100,5766000000.0,,,,,,,,,,,
12,2007-01-22,20.92,20.65,21.02,20.79,12.9,77064300,5766000000.0,,,,,,,,,,,
13,2007-01-23,20.85,20.46,20.88,20.55,12.75,66796000,5766000000.0,,,,,,,,,,,
14,2007-01-24,20.6,20.57,20.88,20.84,12.93,55953800,5766000000.0,,,,,,,,,,,
15,2007-01-25,20.87,20.6,21.04,20.6,12.78,57199100,5766000000.0,,,,,,,,,,,
16,2007-01-26,20.69,20.51,20.9,20.53,12.74,62234300,5766000000.0,,,,,,,,,,,
17,2007-01-29,20.8,20.7,21.14,20.89,12.96,99681400,5766000000.0,,,,,,,,,,,
18,2007-01-30,21.09,20.82,21.13,20.93,12.99,61693700,5766000000.0,,,,,,,,,,,
19,2007-01-31,20.96,20.69,21.02,20.96,13.0,47840000,5766000000.0,,,,,,,,,,,
20,2007-02-01,20.98,20.87,21.14,21.11,13.1,50473200,5766000000.0,,,,,,,,,,,
21,2007-02-02,21.14,21.03,21.25,21.23,13.17,55291300,5766000000.0,,,,,,,,,,,
22,2007-02-05,21.22,21.17,21.41,21.28,13.27,63384700,5766000000.0,,,,,,,,,,,
23,2007-02-06,21.37,21.08,21.49,21.31,13.29,56861600,5766000000.0,,,,,,,,,,,
24,2007-02-07,21.38,21.24,21.67,21.51,13.42,57645400,5766000000.0,,,,,,,,,,,
25,2007-02-08,21.3,21.18,21.42,21.36,13.32,40270500,5766000000.0,,,,,,,,,,,
26,2007-02-09,21.42,20.92,21.54,21.03,13.12,80404400,5766000000.0,,,,,,,,,,,
27,2007-02-12,20.93,20.75,20.98,20.8,12.97,48013400,5766000000.0,,,,,,,,,,,
28,2007-02-13,20.89,20.7,20.95,20.87,13.02,55316100,5766000000.0,,,,,,,,,,,
29,2007-02-14,20.96,20.94,21.3,21.14,13.19,56559400,5766000000.0,,,,,,,,,,,
30,2007-02-15,21.21,21.13,21.35,21.31,13.29,44728000,5766000000.0,,,,,,,,,,,
31,2007-02-16,21.26,21.15,21.4,21.23,13.24,47511800,5766000000.0,,,,,,,,,,,
32,2007-02-20,21.06,20.9,21.32,21.18,13.21,47945200,5766000000.0,,,,,,,,,,,
33,2007-02-21,20.97,20.73,20.99,20.88,13.02,69355500,5766000000.0,,,,,,,,,,,
34,2007-02-22,21.0,20.78,21.07,20.97,13.08,52430400,5766000000.0,,,,,,,,,,,
35,2007-02-23,20.83,20.75,21.0,20.76,12.95,75768100,5766000000.0,,,,,,,,,,,
36,2007-02-26,20.81,20.52,21.0,20.85,13.0,72228200,5766000000.0,,,,,,,,,,,
37,2007-02-27,20.49,20.01,20.6,20.03,12.49,99034300,5766000000.0,,,,,,,,,,,
38,2007-02-28,20.05,19.8,20.2,19.86,12.39,102774400,5766000000.0,,,,,,,,,,,
39,2007-03-01,19.52,19.34,19.8,19.59,12.22,108287900,5766000000.0,,,,,,,,,,,
40,2007-03-02,19.51,19.2,19.6,19.22,11.99,95602100,5766000000.0,,,,,,,,,,,
41,2007-03-05,18.98,18.9,19.46,19.11,11.92,88237400,5766000000.0,,,,,,,,,,,
42,2007-03-06,19.34,19.15,19.4,19.4,12.1,66882600,5766000000.0,,,,,,,,,,,
43,2007-03-07,19.36,19.08,19.45,19.12,11.93,68343100,5766000000.0,,,,,,,,,,,
44,2007-03-08,19.28,19.16,19.32,19.23,11.99,46507200,5766000000.0,,,,,,,,,,,
45,2007-03-09,19.36,19.05,19.42,19.1,11.91,51056700,5766000000.0,,,,,,,,,,,
46,2007-03-12,19.11,19.09,19.64,19.48,12.15,68184600,5766000000.0,,,,,,,,,,,
47,2007-03-13,19.29,19.12,19.49,19.12,11.93,66226600,5766000000.0,,,,,,,,,,,
48,2007-03-14,19.19,18.96,19.24,19.23,11.99,70074300,5766000000.0,,,,,,,,,,,
49,2007-03-15,19.21,19.01,19.3,19.14,11.94,52048300,5766000000.0,,,,,,,,,,,
50,2007-03-16,19.15,19.05,19.22,19.15,11.94,56509100,5766000000.0,,,,,,,,,,,
51,2007-03-19,19.2,18.95,19.28,19.11,11.92,59139800,5766000000.0,,,,,,,,,,,
52,2007-03-20,19.04,18.92,19.13,18.99,11.84,62861900,5766000000.0,,,,,,,,,,,
53,2007-03-21,19.05,18.91,19.36,19.34,12.06,61537800,5766000000.0,,,,,,,,,,,
54,2007-03-22,19.24,19.11,19.31,19.16,11.95,50898400,5766000000.0,,,,,,,,,,,
55,2007-03-23,19.19,19.16,19.36,19.27,12.02,37566600,5766000000.0,,,,,,,,,,,
56,2007-03-26,19.26,19.05,19.34,19.29,12.03,39226400,5766000000.0,,,,,,,,,,,
57,2007-03-27,19.25,19.04,19.27,19.06,11.89,50285100,5766000000.0,,,,,,,,,,,
58,2007-03-28,18.98,18.86,19.05,18.86,11.76,50042600,5766000000.0,,,,,,,,,,,
59,2007-03-29,19.01,18.75,19.1,19.09,11.91,71000900,5766000000.0,,,,,,,,,,,
60,2007-03-30,19.08,18.9,19.18,19.13,11.93,60162400,5766000000.0,,,,,,,,,,,
61,2007-04-02,19.15,19.03,19.24,19.13,11.93,54240600,5766000000.0,,,,,,,,,,,
62,2007-04-03,19.22,19.19,19.4,19.31,12.04,53274700,5766000000.0,,,,,,,,,,,
63,2007-04-04,19.35,19.23,19.44,19.38,12.09,49475500,5766000000.0,,,,,,,,,,,
64,2007-04-05,19.29,19.26,19.58,19.58,12.21,36683100,5766000000.0,,,,,,,,,,,
65,2007-04-09,19.88,19.85,20.24,20.1,12.54,117593100,5766000000.0,,,,,,,,,,,
66,2007-04-10,20.1,20.07,20.74,20.68,12.9,94796500,5766000000.0,,,,,,,,,,,
67,2007-04-11,20.59,20.42,20.73,20.47,12.77,90710100,5766000000.0,,,,,,,,,,,
68,2007-04-12,20.38,20.25,20.55,20.5,12.79,63681100,5766000000.0,,,,,,,,,,,
69,2007-04-13,20.41,20.25,20.48,20.46,12.76,44046400,5766000000.0,,,,,,,,,,,
70,2007-04-16,20.41,20.39,20.73,20.69,12.9,56647300,5766000000.0,,,,,,,,,,,
71,2007-04-17,20.67,20.66,21.0,20.98,13.09,104587400,5766000000.0,,,,,,,,,,,
72,2007-04-18,21.32,21.0,21.48,21.35,13.32,112621700,5766000000.0,,,,,,,,,,,
73,2007-04-19,21.16,21.14,21.9,21.81,13.6,97553200,5766000000.0,,,,,,,,,,,
74,2007-04-20,22.05,21.66,22.2,22.16,13.82,120196700,5766000000.0,,,,,,,,,,,
75,2007-04-23,22.03,21.79,22.13,21.91,13.67,55767600,5766000000.0,,,,,,,,,,,
76,2007-04-24,21.95,21.74,22.09,21.94,13.68,85220200,5766000000.0,,,,,,,,,,,
77,2007-04-25,21.99,21.8,22.3,22.26,13.88,68950800,5766000000.0,,,,,,,,,,,
