,Date,Open,Low,High,Close,Adj. Close,Volume,Shares Outstanding,Dividend Yield,Earnings Yield,FCF Yield,Market-Cap,P/Cash,P/E,P/FCF,P/NCAV,P/NetNet,P/Sales,Price to Book Value
0,2007-01-03,66.13,66.11,67.1,66.4,41.98,12845300,2948000000.0,,,,,,,,,,,
1,2007-01-04,66.1,65.9,67.62,67.23,42.5,11262000,2948000000.0,,,,,,,,,,,
2,2007-01-05,66.8,66.5,67.25,66.62,42.12,8141100,2948000000.0,,,,,,,,,,,
3,2007-01-08,66.51,66.05,66.75,66.51,42.05,6180400,2948000000.0,,,,,,,,,,,
4,2007-01-09,66.6,66.13,66.85,66.26,41.89,7147100,2948000000.0,,,,,,,,,,,
5,2007-01-10,66.56,66.07,66.56,66.15,41.82,6528700,2948000000.0,,,,,,,,,,,
6,2007-01-11,66.4,66.28,66.84,66.73,42.19,6371500,2948000000.0,,,,,,,,,,,
7,2007-01-12,66.45,66.3,66.8,66.64,42.13,6189400,2948000000.0,,,,,,,,,,,
8,2007-01-16,66.65,66.3,66.75,66.54,42.07,7963700,2948000000.0,,,,,,,,,,,
9,2007-01-17,66.6,66.42,67.38,66.87,42.28,9189900,2948000000.0,,,,,,,,,,,
10,2007-01-18,66.46,66.3,67.99,67.71,42.81,10695600,2948000000.0,,,,,,,,,,,
11,2007-01-19,68.0,67.53,68.22,67.76,42.84,13473300,2948000000.0,,,,,,,,,,,
12,2007-01-22,68.01,67.17,68.11,67.18,42.47,10245500,2948000000.0,,,,,,,,,,,
13,2007-01-23,66.99,66.13,67.24,66.5,42.04,9698300,2948000000.0,,,,,,,,,,,
14,2007-01-24,66.5,66.3,67.09,67.01,42.36,7665500,2948000000.0,,,,,,,,,,,
15,2007-01-25,66.8,66.5,67.04,66.68,42.16,7727900,2948000000.0,,,,,,,,,,,
16,2007-01-26,66.68,65.99,66.87,66.07,41.77,10773000,2948000000.0,,,,,,,,,,,
17,2007-01-29,66.25,66.0,66.4,66.15,41.82,8152700,2948000000.0,,,,,,,,,,,
18,2007-01-30,66.15,66.1,66.6,66.39,41.97,7171900,2948000000.0,,,,,,,,,,,
19,2007-01-31,66.39,66.15,67.02,66.8,42.23,8171600,2948000000.0,,,,,,,,,,,
20,2007-02-01,66.8,66.5,67.07,67.01,42.36,9232500,2948000000.0,,,,,,,,,,,
21,2007-02-02,66.58,66.49,67.15,66.58,42.09,11317500,2948000000.0,,,,,,,,,,,
22,2007-02-05,66.38,66.1,66.6,66.3,41.92,7526200,2948000000.0,,,,,,,,,,,
23,2007-02-06,66.39,65.79,66.43,66.0,41.73,8180100,2948000000.0,,,,,,,,,,,
24,2007-02-07,66.0,65.65,66.1,65.8,41.6,7795300,2948000000.0,,,,,,,,,,,
25,2007-02-08,65.76,65.6,65.97,65.76,41.57,7340100,2948000000.0,,,,,,,,,,,
26,2007-02-09,65.86,65.53,66.1,65.6,41.47,7107600,2948000000.0,,,,,,,,,,,
27,2007-02-12,65.72,65.36,65.87,65.46,41.38,6067300,2948000000.0,,,,,,,,,,,
28,2007-02-13,65.41,65.28,65.52,65.38,41.33,8583600,2948000000.0,,,,,,,,,,,
29,2007-02-14,65.56,65.4,65.9,65.85,41.63,7254900,2948000000.0,,,,,,,,,,,
30,2007-02-15,65.75,65.59,65.93,65.79,41.59,7350800,2948000000.0,,,,,,,,,,,
31,2007-02-16,65.65,65.24,65.74,65.51,41.42,12927000,2948000000.0,,,,,,,,,,,
32,2007-02-20,65.26,65.26,65.83,65.46,41.38,9384300,2948000000.0,,,,,,,,,,,
33,2007-02-21,65.26,64.96,65.4,65.0,41.09,12036200,2948000000.0,,,,,,,,,,,
34,2007-02-22,64.97,64.65,65.07,64.78,40.95,12930900,2948000000.0,,,,,,,,,,,
35,2007-02-23,64.61,63.99,64.61,64.15,40.79,11586300,2948000000.0,,,,,,,,,,,
36,2007-02-26,64.25,64.01,64.49,64.3,40.89,10483200,2948000000.0,,,,,,,,,,,
37,2007-02-27,64.0,62.72,64.24,63.05,40.09,18581000,2948000000.0,,,,,,,,,,,
38,2007-02-28,63.25,62.82,63.72,62.93,40.02,16690600,2948000000.0,,,,,,,,,,,
39,2007-03-01,62.3,61.75,62.93,62.45,39.71,14589700,2948000000.0,,,,,,,,,,,
40,2007-03-02,62.35,61.73,62.45,61.95,39.39,13773000,2948000000.0,,,,,,,,,,,
41,2007-03-05,61.45,61.45,62.35,61.83,39.32,16009400,2948000000.0,,,,,,,,,,,
42,2007-03-06,62.15,61.37,62.22,61.7,39.24,19244300,2948000000.0,,,,,,,,,,,
43,2007-03-07,61.65,61.59,62.53,61.86,39.34,14139300,2948000000.0,,,,,,,,,,,
44,2007-03-08,62.0,61.65,62.25,61.72,39.25,14670100,2948000000.0,,,,,,,,,,,
45,2007-03-09,62.18,61.94,62.31,62.14,39.51,10011500,2948000000.0,,,,,,,,,,,
46,2007-03-12,62.25,61.41,62.35,61.79,39.29,13310200,2948000000.0,,,,,,,,,,,
