,Date,Open,Low,High,Close,Adj. Close,Volume,Shares Outstanding,Dividend Yield,Earnings Yield,FCF Yield,Market-Cap,P/Cash,P/E,P/FCF,P/NCAV,P/NetNet,P/Sales,Price to Book Value
0,2007-01-03,48.0,47.59,48.37,48.07,31.98,14244700,,,,,,,,,,,,
1,2007-01-04,47.88,47.75,48.55,48.19,32.06,9471500,,,,,,,,,,,,
2,2007-01-05,48.17,47.63,48.25,47.79,31.79,10760500,,,,,,,,,,,,
3,2007-01-08,47.57,47.32,48.06,47.95,31.9,8239200,,,,,,,,,,,,
4,2007-01-09,47.9,47.36,48.11,47.75,31.77,9276700,,,,,,,,,,,,
5,2007-01-10,47.47,47.44,48.12,48.1,32.0,15597000,,,,,,,,,,,,
6,2007-01-11,48.0,47.94,48.42,48.31,32.14,8049200,,,,,,,,,,,,
7,2007-01-12,48.1,47.9,48.26,47.99,31.93,10646700,,,,,,,,,,,,
8,2007-01-16,48.16,48.1,48.46,48.39,32.19,8696500,,,,,,,,,,,,
9,2007-01-17,48.65,48.12,48.89,48.43,32.22,16291400,,,,,,,,,,,,
10,2007-01-18,48.31,47.92,48.58,48.15,32.03,12654200,,,,,,,,,,,,
11,2007-01-19,48.14,48.14,48.83,48.76,32.44,14649200,,,,,,,,,,,,
12,2007-01-22,48.87,48.7,49.86,49.66,33.04,18325500,,,,,,,,,,,,
13,2007-01-23,49.6,49.28,49.86,49.83,33.15,12845300,,,,,,,,,,,,
14,2007-01-24,49.68,49.51,50.4,50.36,33.5,13857500,,,,,,,,,,,,
15,2007-01-25,50.32,49.93,50.68,50.21,33.4,14855900,,,,,,,,,,,,
16,2007-01-26,50.0,49.5,50.25,49.7,33.07,13990300,,,,,,,,,,,,
17,2007-01-29,49.57,49.11,49.65,49.47,32.91,12085000,,,,,,,,,,,,
18,2007-01-30,49.7,49.37,50.25,50.18,33.38,12325700,,,,,,,,,,,,
19,2007-01-31,50.07,49.85,51.16,50.93,33.88,18460500,,,,,,,,,,,,
