,Date,Open,Low,High,Close,Adj. Close,Volume,Shares Outstanding,Dividend Yield,Earnings Yield,FCF Yield,Market-Cap,P/Cash,P/E,P/FCF,P/NCAV,P/NetNet,P/Sales,Price to Book Value
0,2007-01-03,24.18,24.14,24.44,24.29,15.0,15753400,,,,,,,,,,,,
1,2007-01-04,24.21,24.12,24.35,24.3,15.0,11810400,,,,,,,,,,,,
2,2007-01-05,24.25,24.09,24.29,24.13,14.9,11607000,,,,,,,,,,,,
3,2007-01-08,24.09,24.0,24.34,24.29,14.99,17551000,,,,,,,,,,,,
4,2007-01-09,24.27,24.23,24.41,24.3,15.0,13724000,,,,,,,,,,,,
5,2007-01-10,24.25,24.18,24.39,24.34,15.03,8928000,,,,,,,,,,,,
6,2007-01-11,24.38,24.3,24.43,24.37,15.04,11009600,,,,,,,,,,,,
7,2007-01-12,24.3,24.12,24.34,24.27,14.99,13667200,,,,,,,,,,,,
8,2007-01-16,24.24,24.17,24.34,24.25,14.97,12685200,,,,,,,,,,,,
9,2007-01-17,24.26,24.24,24.43,24.3,15.0,14400200,,,,,,,,,,,,
10,2007-01-18,24.21,24.1,24.5,24.18,14.92,15223000,,,,,,,,,,,,
11,2007-01-19,24.2,24.04,24.21,24.13,14.9,13008200,,,,,,,,,,,,
12,2007-01-22,24.05,24.0,24.18,24.02,14.83,12198800,,,,,,,,,,,,
13,2007-01-23,24.07,23.97,24.11,24.06,14.85,12149000,,,,,,,,,,,,
14,2007-01-24,24.09,23.97,24.1,24.07,14.86,8641600,,,,,,,,,,,,
15,2007-01-25,24.04,23.95,24.11,23.97,14.8,11596600,,,,,,,,,,,,
16,2007-01-26,24.0,23.9,24.05,23.91,14.76,14459000,,,,,,,,,,,,
17,2007-01-29,23.88,23.78,23.96,23.86,14.73,10077800,,,,,,,,,,,,
18,2007-01-30,23.91,23.82,23.98,23.91,14.76,8986000,,,,,,,,,,,,
19,2007-01-31,23.9,23.75,23.98,23.94,14.78,10604400,,,,,,,,,,,,
20,2007-02-01,24.0,23.93,24.14,24.05,14.85,10398600,,,,,,,,,,,,
21,2007-02-02,24.2,24.02,24.2,24.12,14.89,10703600,,,,,,,,,,,,
22,2007-02-05,24.05,23.92,24.12,23.95,14.79,9192800,,,,,,,,,,,,
23,2007-02-06,24.0,23.93,24.08,24.02,14.83,11168800,,,,,,,,,,,,
24,2007-02-07,24.02,23.93,24.07,24.02,14.83,9242400,,,,,,,,,,,,
25,2007-02-08,23.97,23.82,24.02,23.93,14.77,9076600,,,,,,,,,,,,
26,2007-02-09,23.86,23.82,24.0,23.88,14.74,9828400,,,,,,,,,,,,
27,2007-02-12,23.93,23.9,24.18,23.96,14.79,13925400,,,,,,,,,,,,
28,2007-02-13,24.05,24.05,24.21,24.11,14.88,19411800,,,,,,,,,,,,
29,2007-02-14,24.25,23.86,24.27,23.94,14.78,32846800,,,,,,,,,,,,
30,2007-02-15,24.0,23.79,24.05,23.93,14.77,19195000,,,,,,,,,,,,
31,2007-02-16,24.05,23.88,24.05,23.93,14.78,17492200,,,,,,,,,,,,
32,2007-02-20,23.76,23.75,23.94,23.89,14.75,17828800,,,,,,,,,,,,
33,2007-02-21,23.77,23.76,23.89,23.79,14.68,16489600,,,,,,,,,,,,
34,2007-02-22,23.77,23.61,23.87,23.65,14.6,9869000,,,,,,,,,,,,
35,2007-02-23,23.65,23.65,23.65,23.65,14.6,29516200,,,,,,,,,,,,
36,2007-02-26,23.85,23.79,23.95,23.86,14.73,18709000,,,,,,,,,,,,
37,2007-02-27,23.73,22.78,23.92,23.2,14.32,30318600,,,,,,,,,,,,
38,2007-02-28,23.38,23.16,23.45,23.34,14.41,27629200,,,,,,,,,,,,
39,2007-03-01,23.21,23.14,23.46,23.26,14.36,27342000,,,,,,,,,,,,
40,2007-03-02,23.23,22.91,23.46,22.95,14.16,34050600,,,,,,,,,,,,
41,2007-03-05,22.95,22.89,23.36,23.14,14.29,29572400,,,,,,,,,,,,
42,2007-03-06,23.34,23.27,23.53,23.46,14.49,25097800,,,,,,,,,,,,
43,2007-03-07,23.38,23.33,23.5,23.38,14.43,26321800,,,,,,,,,,,,
44,2007-03-08,23.45,23.45,23.68,23.57,14.55,17422400,,,,,,,,,,,,
45,2007-03-09,23.61,23.57,23.84,23.79,14.68,26127200,,,,,,,,,,,,
46,2007-03-12,23.79,23.73,24.0,23.8,14.7,26009000,,,,,,,,,,,,
47,2007-03-13,23.68,23.48,23.93,23.53,14.63,32198000,,,,,,,,,,,,
48,2007-03-14,23.62,23.3,23.67,23.52,14.62,32553400,,,,,,,,,,,,
49,2007-03-15,23.48,23.34,23.57,23.54,14.64,19059000,,,,,,,,,,,,
50,2007-03-16,23.62,23.41,23.66,23.61,14.68,28231600,,,,,,,,,,,,
51,2007-03-19,23.67,23.52,23.75,23.66,14.72,15513600,,,,,,,,,,,,
52,2007-03-20,23.71,23.62,23.88,23.81,14.81,14456000,,,,,,,,,,,,
53,2007-03-21,23.85,23.68,24.18,24.13,15.0,24361000,,,,,,,,,,,,
54,2007-03-22,24.1,23.95,24.22,24.12,15.0,16486800,,,,,,,,,,,,
55,2007-03-23,24.07,23.98,24.14,24.02,14.94,16012200,,,,,,,,,,,,
56,2007-03-26,23.98,23.84,24.09,24.07,14.97,14385200,,,,,,,,,,,,
57,2007-03-27,24.0,23.93,24.09,24.01,14.93,13230600,,,,,,,,,,,,
58,2007-03-28,23.89,23.8,24.15,23.95,14.9,22657800,,,,,,,,,,,,
59,2007-03-29,24.02,23.43,24.2,24.05,14.96,18947800,,,,,,,,,,,,
60,2007-03-30,24.13,23.8,24.25,24.0,14.92,17937600,,,,,,,,,,,,
61,2007-04-02,24.1,24.02,24.33,24.26,15.08,22443400,,,,,,,,,,,,
62,2007-04-03,24.27,24.27,24.57,24.5,15.23,19033200,,,,,,,,,,,,
63,2007-04-04,24.5,24.47,24.82,24.73,15.38,22203000,,,,,,,,,,,,
64,2007-04-05,24.67,24.65,24.89,24.76,15.4,17959200,,,,,,,,,,,,
65,2007-04-09,24.75,24.71,24.98,24.82,15.43,14632800,,,,,,,,,,,,
66,2007-04-10,24.89,24.82,25.16,25.04,15.57,26317400,,,,,,,,,,,,
67,2007-04-11,25.04,24.8,25.1,24.82,15.43,24374000,,,,,,,,,,,,
68,2007-04-12,24.82,24.32,24.98,24.84,15.44,15512400,,,,,,,,,,,,
69,2007-04-13,25.14,24.75,25.14,24.94,15.51,13829600,,,,,,,,,,,,
70,2007-04-16,25.0,24.96,25.22,25.14,15.63,20130200,,,,,,,,,,,,
71,2007-04-17,25.43,25.38,26.09,25.79,16.03,50341600,,,,,,,,,,,,
72,2007-04-18,25.8,25.68,25.87,25.83,16.06,22955600,,,,,,,,,,,,
73,2007-04-19,25.68,25.66,25.95,25.88,16.09,18696200,,,,,,,,,,,,
74,2007-04-20,26.02,25.81,26.07,26.05,16.19,21201000,,,,,,,,,,,,
75,2007-04-23,26.05,25.8,26.1,25.82,16.06,14465800,,,,,,,,,,,,
76,2007-04-24,25.77,25.68,25.99,25.86,16.08,16117400,,,,,,,,,,,,
77,2007-04-25,26.0,25.75,26.03,25.87,16.09,21349800,,,,,,,,,,,,
78,2007-04-26,26.0,25.93,26.11,26.04,16.19,15173600,,,,,,,,,,,,
79,2007-04-27,25.88,25.88,26.06,26.03,16.19,13926200,,,,,,,,,,,,
80,2007-04-30,25.96,25.93,26.18,26.09,16.23,23486000,,,,,,,,,,,,
81,2007-05-01,26.09,26.07,26.32,26.32,16.36,20552200,,,,,,,,,,,,
82,2007-05-02,26.3,26.25,26.46,26.36,16.39,17473000,,,,,,,,,,,,
83,2007-05-03,26.4,26.3,26.5,26.45,16.45,16194400,,,,,,,,,,,,
84,2007-05-04,26.5,26.48,26.66,26.61,16.54,18067000,,,,,,,,,,,,
85,2007-05-07,26.61,26.57,26.82,26.8,16.67,14151800,,,,,,,,,,,,
86,2007-05-08,26.68,26.46,26.76,26.54,16.5,15197400,,,,,,,,,,,,
87,2007-05-09,26.55,26.43,26.7,26.55,16.51,11234400,,,,,,,,,,,,
88,2007-05-10,26.48,26.21,26.52,26.24,16.32,14908400,,,,,,,,,,,,
89,2007-05-11,26.23,26.09,26.36,26.34,16.38,12985200,,,,,,,,,,,,
90,2007-05-14,26.27,26.25,26.48,26.3,16.35,13295800,,,,,,,,,,,,
91,2007-05-15,26.15,26.08,26.39,26.23,16.31,31652800,,,,,,,,,,,,
92,2007-05-16,26.25,26.07,26.39,26.37,16.4,16792200,,,,,,,,,,,,
93,2007-05-17,26.37,26.05,26.5,26.1,16.23,18808400,,,,,,,,,,,,
94,2007-05-18,26.18,26.05,26.32,26.32,16.36,25827200,,,,,,,,,,,,
95,2007-05-21,26.32,25.88,26.41,25.95,16.14,26409400,,,,,,,,,,,,
96,2007-05-22,25.98,25.71,25.98,25.74,16.01,19057200,,,,,,,,,,,,
97,2007-05-23,25.82,25.62,25.89,25.66,15.96,15167600,,,,,,,,,,,,
98,2007-05-24,25.64,25.57,25.88,25.62,15.93,17765600,,,,,,,,,,,,
99,2007-05-25,25.78,25.75,26.09,25.95,16.13,18502400,,,,,,,,,,,,
100,2007-05-29,26.02,25.95,26.18,26.09,16.22,16716400,,,,,,,,,,,,
101,2007-05-30,26.18,25.96,26.52,26.52,16.49,29334600,,,,,,,,,,,,
102,2007-05-31,26.48,26.44,26.73,26.5,16.47,21255400,,,,,,,,,,,,
103,2007-06-01,26.56,26.21,26.57,26.4,16.42,17018400,,,,,,,,,,,,
