,Date,Open,Low,High,Close,Adj. Close,Volume,Shares Outstanding,Dividend Yield,Earnings Yield,FCF Yield,Market-Cap,P/Cash,P/E,P/FCF,P/NCAV,P/NetNet,P/Sales,Price to Book Value
0,2007-01-03,43.65,43.5,44.38,43.87,27.95,7579100,,,,,,,,,,,,
1,2007-01-04,43.75,42.87,43.86,43.54,27.74,9776100,,,,,,,,,,,,
2,2007-01-05,43.4,43.34,43.82,43.54,27.74,5701000,,,,,,,,,,,,
3,2007-01-08,43.5,43.25,43.85,43.71,27.84,4538500,,,,,,,,,,,,
4,2007-01-09,44.05,43.59,44.15,43.79,27.89,6832800,,,,,,,,,,,,
5,2007-01-10,43.78,43.46,44.29,44.26,28.19,6374800,,,,,,,,,,,,
6,2007-01-11,44.22,44.11,44.6,44.51,28.35,5626900,,,,,,,,,,,,
7,2007-01-12,44.67,44.09,44.68,44.22,28.17,7103000,,,,,,,,,,,,
8,2007-01-16,44.36,44.17,44.65,44.57,28.39,5377700,,,,,,,,,,,,
9,2007-01-17,44.57,44.39,45.06,44.86,28.58,9439700,,,,,,,,,,,,
10,2007-01-18,44.87,44.52,44.99,44.59,28.4,4690400,,,,,,,,,,,,
11,2007-01-19,44.67,44.3,44.9,44.81,28.54,5116900,,,,,,,,,,,,
12,2007-01-22,44.8,44.2,44.8,44.35,28.25,4918000,,,,,,,,,,,,
13,2007-01-23,44.55,44.4,45.0,44.85,28.57,6140200,,,,,,,,,,,,
14,2007-01-24,44.45,44.04,44.48,44.16,28.13,11019000,,,,,,,,,,,,
15,2007-01-25,43.98,42.86,44.14,43.0,27.39,10630200,,,,,,,,,,,,
16,2007-01-26,43.02,42.54,43.09,42.93,27.35,8542300,,,,,,,,,,,,
17,2007-01-29,42.94,42.75,43.65,43.23,27.54,8262100,,,,,,,,,,,,
18,2007-01-30,43.48,43.48,43.85,43.77,27.88,5818200,,,,,,,,,,,,
19,2007-01-31,43.77,43.65,44.44,44.35,28.25,7350900,,,,,,,,,,,,
20,2007-02-01,44.26,44.2,44.52,44.48,28.33,6086700,,,,,,,,,,,,
21,2007-02-02,44.48,44.42,44.74,44.54,28.37,4724100,,,,,,,,,,,,
22,2007-02-05,44.46,44.3,44.71,44.53,28.37,3520900,,,,,,,,,,,,
23,2007-02-06,44.7,44.43,44.86,44.77,28.52,4016600,,,,,,,,,,,,
24,2007-02-07,44.75,44.46,44.88,44.72,28.49,3362000,,,,,,,,,,,,
25,2007-02-08,44.73,44.14,44.84,44.35,28.25,6018400,,,,,,,,,,,,
