,Date,Open,Low,High,Close,Adj. Close,Volume,Shares Outstanding,Dividend Yield,Earnings Yield,FCF Yield,Market-Cap,P/Cash,P/E,P/FCF,P/NCAV,P/NetNet,P/Sales,Price to Book Value
0,2007-01-03,77.53,77.38,78.85,78.26,50.3,3781500,729300000.0,0.02310435950383388,0.06466198288463973,0.04567140832153208,59555860000.00001,31.05102189781022,15.465037652557777,21.895536764705884,-24.92920050230222,-10.285986183074266,2.598083147930027,5.980104428155438
1,2007-01-04,78.4,77.45,78.41,77.95,50.1,2968400,729300000.0,0.02319624342232251,0.06491913765942149,0.04585303932319565,59319950000.0,30.928023983315953,15.403778239418333,21.808805147058827,-24.83045207199665,-10.245241796200345,2.5877917375561665,5.956416306858118
2,2007-01-05,77.89,77.01,77.9,77.42,49.76,2765200,729300000.0,0.023355039715448715,0.06536355955246584,0.04616693897239862,58916620000.0,30.71773722627737,15.299044404050896,21.66052205882353,-24.661624110506487,-10.175582037996545,2.5701967456266632,5.915917260769154
3,2007-01-08,77.19,76.97,78.04,77.59,49.86,2434500,729300000.0,0.02330386873012037,0.06522034773233543,0.04606578702465654,59045990000.0,30.785187695516164,15.332638275772526,21.708084558823533,-24.715776475512765,-10.19792573402418,2.5758404222832967,5.928907520835426
4,2007-01-09,78.0,77.44,78.23,77.68,49.92,1896800,729300000.0,0.02327686888220957,0.06514478347775367,0.04601241523227473,59114480000.00001,30.820896767466113,15.350423266683979,21.733264705882355,-24.744445374633738,-10.209754749568221,2.578828251101514,5.935784717341099
5,2007-01-10,77.31,77.04,77.96,77.85,50.03,1787500,729300000.0,0.023226039496082717,0.06500252768852802,0.04591193853876816,59243849999.99999,30.8883472367049,15.384017138405607,21.780827205882353,-24.798597739640012,-10.232098445595854,2.584471927758147,5.94877497740737
6,2007-01-11,77.94,77.88,79.03,78.65,50.55,2372500,729300000.0,0.02298979243191404,0.06434134495298036,0.045444938528202174,59852650000.00001,31.205761209593327,15.542105946507402,22.00465073529412,-25.053432398493094,-10.33724525043178,2.611030406142303,6.0099056130133555
7,2007-01-12,78.41,78.22,79.5,79.36,51.0,2582200,729300000.0,0.022784112585307957,0.0637657104404222,0.045038362087236654,60392960000.0,31.487466110531802,15.68240976369774,22.20329411764706,-25.2795981582252,-10.43056303972366,2.6346010557082407,6.064159052113666
8,2007-01-16,79.48,78.92,79.62,79.56,51.13,2526600,729300000.0,0.022726837289718946,0.0636054145368515,0.044925143479676986,60545160000.0,31.56681960375391,15.721931965723188,22.25925,-25.343306822938466,-10.456849740932642,2.64124067530428,6.079441711015162
9,2007-01-17,79.33,78.75,79.51,78.91,50.71,2711300,729300000.0,0.022914043527690275,0.06412934711129015,0.04529520232217844,60050510000.0,31.30892075078206,15.593484809140481,22.07739338235294,-25.13625366262034,-10.371417962003454,2.619661911617153,6.0297730695853
10,2007-01-18,78.99,78.6,79.7,78.81,50.65,1963000,729300000.0,0.02294311857340489,0.0642107192050743,0.04535267624975385,59974410000.0,31.26924400417101,15.573723708127758,22.04941544117647,-25.104399330263707,-10.358274611398963,2.616342101819134,6.022131740134552
11,2007-01-19,79.09,78.82,79.88,79.25,50.93,2912100,729300000.0,0.022815737221073055,0.06385421805112815,0.04510087590212115,60309250000.0,31.443821689259643,15.660672552583744,22.17251838235294,-25.2445583926329,-10.416105354058722,2.630949264930419,6.055753589717844
12,2007-01-22,79.25,78.13,79.29,78.49,50.44,2139300,729300000.0,0.023036656577526304,0.06447250325585305,0.04553757695557525,59730889999.99999,31.14227841501564,15.510488184887041,21.959886029411763,-25.002465466722477,-10.316215889464592,2.6057187104654713,5.997679485892157
13,2007-01-23,78.71,78.33,79.15,78.85,50.67,1949500,729300000.0,0.022931479705390483,0.06417814559989735,0.04532966918507421,60004849999.99999,31.28511470281543,15.581628148532847,22.060606617647057,-25.11714106320636,-10.36353195164076,2.617670025738341,6.025188271914851
14,2007-01-24,78.85,78.85,79.66,79.49,51.09,1772700,729300000.0,0.022746850858850667,0.0636614263498793,0.04496470518610016,60491889999.99999,31.53904588112617,15.708099195014281,22.23966544117647,-25.321008790288822,-10.447649395509497,2.638916808445666,6.0740927803996385
15,2007-01-25,79.56,78.83,79.75,79.01,50.78,2888700,729300000.0,0.022885042080370073,0.06404818099673339,0.0452378738798013,60126610000.00001,31.34859749739312,15.613245910153207,22.105371323529415,-25.168107994976978,-10.384561312607945,2.6229817214151727,6.037414399036049
16,2007-01-26,78.97,78.23,79.19,78.69,50.57,1996300,729300000.0,0.02297810617321184,0.06430863871587121,0.04542183778425596,59883090000.0,31.221631908237747,15.55001038691249,22.015841911764706,-25.066174131435744,-10.342502590673574,2.6123583300615105,6.012962144793654
