,Date,Open,Low,High,Close,Adj. Close,Volume,Shares Outstanding,Dividend Yield,Earnings Yield,FCF Yield,Market-Cap,P/Cash,P/E,P/FCF,P/NCAV,P/NetNet,P/Sales,Price to Book Value
0,2007-01-03,42.01,41.96,42.83,42.0,23.84,15740226,2279609600.0,,,,,,,,,,,
1,2007-01-04,41.65,41.62,43.37,43.04,24.43,13115930,2279609600.0,,,,,,,,,,,
2,2007-01-05,43.03,42.16,43.03,42.27,23.99,11168431,2279609600.0,,,,,,,,,,,
3,2007-01-08,41.98,41.18,42.48,42.26,23.98,7384522,2279609600.0,,,,,,,,,,,
4,2007-01-09,42.27,41.82,42.46,41.87,23.76,9037114,2279609600.0,,,,,,,,,,,
5,2007-01-10,41.84,41.63,42.36,42.1,23.89,7949080,2279609600.0,,,,,,,,,,,
6,2007-01-11,42.22,41.91,42.56,42.23,23.97,8051889,2279609600.0,,,,,,,,,,,
7,2007-01-12,42.44,42.29,43.02,42.74,24.25,9872579,2279609600.0,,,,,,,,,,,
8,2007-01-16,42.75,42.66,43.1,42.89,24.34,6580497,2279609600.0,,,,,,,,,,,
9,2007-01-17,42.89,42.65,43.16,42.95,24.37,8045391,2279609600.0,,,,,,,,,,,
10,2007-01-18,42.99,42.99,43.9,43.65,24.77,11123053,2279609600.0,,,,,,,,,,,
11,2007-01-19,43.76,43.35,44.05,43.51,24.69,9909050,2279609600.0,,,,,,,,,,,
12,2007-01-22,43.35,42.97,43.81,43.23,24.53,8492678,2279609600.0,,,,,,,,,,,
13,2007-01-23,43.44,43.23,43.86,43.64,24.76,8743988,2279609600.0,,,,,,,,,,,
14,2007-01-24,43.68,43.59,44.21,44.1,25.03,6476011,2279609600.0,,,,,,,,,,,
15,2007-01-25,43.9,43.63,44.42,43.89,24.91,8482512,2279609600.0,,,,,,,,,,,
16,2007-01-26,43.88,43.34,44.27,43.88,24.9,7392906,2279609600.0,,,,,,,,,,,
17,2007-01-29,44.07,43.23,44.11,43.43,24.64,7784125,2279609600.0,,,,,,,,,,,
18,2007-01-30,43.66,42.56,43.83,42.85,24.32,13092874,2279609600.0,,,,,,,,,,,
