,Date,Open,Low,High,Close,Adj. Close,Volume,Shares Outstanding,Dividend Yield,Earnings Yield,FCF Yield,Market-Cap,P/Cash,P/E,P/FCF,P/NCAV,P/NetNet,P/Sales,Price to Book Value
0,2007-01-03,12.25,12.1,12.46,12.21,10.01,17299200,16201879192.0,,,,,,,,,,,
1,2007-01-04,12.21,12.11,12.37,12.33,10.11,15085600,16201879192.0,,,,,,,,,,,
2,2007-01-05,12.26,12.21,12.43,12.35,10.13,14996800,16201879192.0,,,,,,,,,,,
3,2007-01-08,12.31,12.2,12.37,12.32,10.1,10109600,16201879192.0,,,,,,,,,,,
4,2007-01-09,12.32,12.29,12.49,12.47,10.22,15167200,16201879192.0,,,,,,,,,,,
5,2007-01-10,12.4,12.36,12.48,12.47,10.22,13012800,16201879192.0,,,,,,,,,,,
6,2007-01-11,12.49,12.43,12.54,12.5,10.25,14316000,16201879192.0,,,,,,,,,,,
7,2007-01-12,12.44,12.41,12.5,12.47,10.22,9296800,16201879192.0,,,,,,,,,,,
8,2007-01-16,12.44,12.4,12.5,12.5,10.25,9264800,16201879192.0,,,,,,,,,,,
9,2007-01-17,12.47,12.38,12.49,12.48,10.23,10762400,16201879192.0,,,,,,,,,,,
10,2007-01-18,12.48,12.38,12.53,12.46,10.21,16351200,16201879192.0,,,,,,,,,,,
11,2007-01-19,12.5,12.44,12.52,12.49,10.24,11123200,16201879192.0,,,,,,,,,,,
12,2007-01-22,12.52,12.18,12.52,12.21,10.01,19514400,16201879192.0,,,,,,,,,,,
13,2007-01-23,12.21,12.03,12.29,12.1,9.92,13594400,16201879192.0,,,,,,,,,,,
14,2007-01-24,12.1,12.07,12.16,12.11,9.92,8871200,16201879192.0,,,,,,,,,,,
15,2007-01-25,12.14,11.98,12.21,11.98,9.82,10141600,16201879192.0,,,,,,,,,,,
16,2007-01-26,12.0,11.87,12.08,11.9,9.76,10981600,16201879192.0,,,,,,,,,,,
17,2007-01-29,11.92,11.92,12.08,12.04,9.87,16308000,16201879192.0,,,,,,,,,,,
18,2007-01-30,12.06,12.06,12.22,12.22,10.02,19752800,16201879192.0,,,,,,,,,,,
19,2007-01-31,12.22,12.19,12.41,12.35,10.13,17216800,16201879192.0,,,,,,,,,,,
20,2007-02-01,12.33,12.3,12.63,12.59,10.32,24736800,16201879192.0,,,,,,,,,,,
21,2007-02-02,12.62,12.48,12.68,12.53,10.27,10944000,16201879192.0,,,,,,,,,,,
22,2007-02-05,12.45,12.31,12.54,12.43,10.19,11786400,16201879192.0,,,,,,,,,,,
23,2007-02-06,12.43,12.43,12.66,12.65,10.37,11491200,16201879192.0,,,,,,,,,,,
24,2007-02-07,12.73,12.68,12.88,12.86,10.55,20092000,16201879192.0,,,,,,,,,,,
25,2007-02-08,12.84,12.78,12.96,12.92,10.6,15504000,16201879192.0,,,,,,,,,,,
26,2007-02-09,12.88,12.88,13.02,12.95,10.62,16579200,16201879192.0,,,,,,,,,,,
27,2007-02-12,12.95,12.9,13.05,13.05,10.7,20028800,16201879192.0,,,,,,,,,,,
28,2007-02-13,13.05,12.93,13.2,13.15,10.78,18204000,16201879192.0,,,,,,,,,,,
29,2007-02-14,13.15,13.12,13.22,13.17,10.8,13357600,16201879192.0,,,,,,,,,,,
30,2007-02-15,13.15,13.1,13.21,13.19,10.81,11341600,16201879192.0,,,,,,,,,,,
31,2007-02-16,13.31,13.21,13.44,13.29,10.89,15173600,16201879192.0,,,,,,,,,,,
32,2007-02-20,13.29,13.21,13.39,13.35,10.95,14660800,16201879192.0,,,,,,,,,,,
33,2007-02-21,13.35,13.31,13.42,13.39,10.98,11065600,16201879192.0,,,,,,,,,,,
34,2007-02-22,13.36,13.33,13.54,13.53,11.09,11451200,16201879192.0,,,,,,,,,,,
35,2007-02-23,13.53,13.4,13.53,13.51,11.07,7232000,16201879192.0,,,,,,,,,,,
36,2007-02-26,13.61,13.4,13.61,13.48,11.05,13248800,16201879192.0,,,,,,,,,,,
37,2007-02-27,13.43,12.91,13.48,13.0,10.66,18844000,16201879192.0,,,,,,,,,,,
38,2007-02-28,13.09,12.91,13.14,13.06,10.71,17872000,16201879192.0,,,,,,,,,,,
39,2007-03-01,12.89,12.77,13.25,13.16,10.79,16936800,16201879192.0,,,,,,,,,,,
40,2007-03-02,13.15,12.98,13.24,12.98,10.64,11324800,16201879192.0,,,,,,,,,,,
