,Date,Open,Low,High,Close,Adj. Close,Volume,Shares Outstanding,Dividend Yield,Earnings Yield,FCF Yield,Market-Cap,P/Cash,P/E,P/FCF,P/NCAV,P/NetNet,P/Sales,Price to Book Value
0,2007-01-03,53.69,53.31,54.64,53.55,36.41,3432800,669900000.0,,,,,,,,,,,
1,2007-01-04,53.55,53.0,53.62,53.1,36.1,2068200,669900000.0,,,,,,,,,,,
2,2007-01-05,53.16,52.34,53.17,52.41,35.63,2104600,669900000.0,,,,,,,,,,,
3,2007-01-08,52.41,51.87,52.41,52.02,35.37,2440900,669900000.0,,,,,,,,,,,
4,2007-01-09,52.17,51.75,52.4,51.89,35.28,1319500,669900000.0,,,,,,,,,,,
5,2007-01-10,51.78,51.49,52.03,51.55,35.05,1699900,669900000.0,,,,,,,,,,,
6,2007-01-11,51.79,51.2,51.79,51.2,34.81,2825800,669900000.0,,,,,,,,,,,
7,2007-01-12,51.25,51.02,51.41,51.06,34.71,2853500,669900000.0,,,,,,,,,,,
8,2007-01-16,51.17,51.02,51.41,51.05,34.71,2753100,669900000.0,,,,,,,,,,,
9,2007-01-17,51.05,50.95,51.28,50.96,34.65,2728400,669900000.0,,,,,,,,,,,
10,2007-01-18,51.1,51.02,51.54,51.29,34.87,2488500,669900000.0,,,,,,,,,,,
11,2007-01-19,51.42,51.08,51.51,51.37,34.92,2294800,669900000.0,,,,,,,,,,,
12,2007-01-22,51.37,51.37,51.86,51.73,35.17,2478000,669900000.0,,,,,,,,,,,
13,2007-01-23,51.74,51.7,52.34,51.81,35.22,2431200,669900000.0,,,,,,,,,,,
14,2007-01-24,51.81,51.17,52.0,51.34,34.9,3369900,669900000.0,,,,,,,,,,,
15,2007-01-25,51.19,50.59,51.44,50.65,34.43,2459300,669900000.0,,,,,,,,,,,
16,2007-01-26,50.65,50.3,50.79,50.66,34.44,3017300,669900000.0,,,,,,,,,,,
17,2007-01-29,50.81,50.68,51.1,50.98,34.66,2462500,669900000.0,,,,,,,,,,,
18,2007-01-30,51.08,50.98,51.65,51.6,35.08,2185300,669900000.0,,,,,,,,,,,
19,2007-01-31,51.68,50.85,51.97,50.85,34.57,2918600,669900000.0,,,,,,,,,,,
20,2007-02-01,51.5,51.28,52.17,52.0,35.35,4171000,669900000.0,,,,,,,,,,,
21,2007-02-02,52.18,51.95,52.6,52.43,35.64,2199300,669900000.0,,,,,,,,,,,
22,2007-02-05,52.27,52.08,52.91,52.67,35.81,2482000,669900000.0,,,,,,,,,,,
23,2007-02-06,52.95,52.66,53.1,52.76,35.87,2614200,669900000.0,,,,,,,,,,,
24,2007-02-07,52.76,52.66,52.98,52.72,35.84,1800500,669900000.0,,,,,,,,,,,
25,2007-02-08,52.87,52.71,53.2,53.16,36.14,2201000,669900000.0,,,,,,,,,,,
26,2007-02-09,53.16,52.17,53.48,52.49,35.69,2811500,669900000.0,,,,,,,,,,,
27,2007-02-12,52.46,52.43,53.14,52.62,35.77,2408600,669900000.0,,,,,,,,,,,
28,2007-02-13,52.8,52.61,52.91,52.72,35.84,3516700,669900000.0,,,,,,,,,,,
29,2007-02-14,52.97,52.76,53.17,52.97,36.01,2219400,669900000.0,,,,,,,,,,,
30,2007-02-15,52.85,52.54,52.93,52.72,35.84,2583400,669900000.0,,,,,,,,,,,
31,2007-02-16,52.42,52.16,52.91,52.73,35.85,2223900,669900000.0,,,,,,,,,,,
32,2007-02-20,52.83,52.76,53.48,53.3,36.24,2536200,669900000.0,,,,,,,,,,,
33,2007-02-21,53.0,52.99,53.81,53.74,36.54,3282300,669900000.0,,,,,,,,,,,
34,2007-02-22,53.58,53.29,54.02,53.74,36.54,1502800,669900000.0,,,,,,,,,,,
35,2007-02-23,52.98,52.88,53.75,53.0,36.03,1581200,669900000.0,,,,,,,,,,,
36,2007-02-26,53.05,52.55,53.26,52.9,35.96,2459200,669900000.0,,,,,,,,,,,
37,2007-02-27,53.15,50.6,54.33,51.19,34.8,2133700,669900000.0,,,,,,,,,,,
