,Date,Open,Low,High,Close,Adj. Close,Volume,Shares Outstanding,Dividend Yield,Earnings Yield,FCF Yield,Market-Cap,P/Cash,P/E,P/FCF,P/NCAV,P/NetNet,P/Sales,Price to Book Value
0,2007-01-03,53.8,52.32,54.34,52.57,43.33,8360300,1343000000.0,0.0005562856616420956,0.056429074799255505,0.07937246635625021,73703140000.0,6.737032906764169,17.721360904063477,12.598827350427351,-6.427973137973138,-4.731308436712619,1.0302079897123368,3.5417174435367613
1,2007-01-04,52.5,52.05,53.0,52.91,43.61,5152500,1343000000.0,0.0005527109664056883,0.056066461201981894,0.07886241837739698,74179820000.0,6.780605118829982,17.835974993988938,12.680311111111111,-6.469546485260771,-4.761908491277623,1.0368709289648037,3.5646237385872173
2,2007-01-05,52.88,51.93,53.05,52.55,43.32,6215700,1343000000.0,0.0005564973783544237,0.05645055113600118,0.07940267471642387,73675100000.0,6.734469835466179,17.714618898773743,12.594034188034188,-6.425527646956218,-4.729508433502913,1.0298160521092503,3.540370014416146
3,2007-01-08,52.32,52.22,53.49,53.32,43.95,4344100,1343000000.0,0.0005484609383444292,0.05563534250181661,0.07825601193451001,74754640000.0,6.833148080438757,17.97418610242847,12.77857094017094,-6.519679051107623,-4.798808557076599,1.0449056498280729,3.592246035559827
4,2007-01-09,53.32,52.43,53.35,52.68,43.42,5483900,1343000000.0,0.0005551240932521824,0.056311246435020154,0.07920673037866503,73857360000.0,6.751129798903108,17.75844193315701,12.625189743589743,-6.441423338566196,-4.741208454366003,1.0323636465293113,3.549128303700144
5,2007-01-10,52.82,52.2,53.25,52.83,43.55,5075600,1343000000.0,0.0005535479317154072,0.056151362146448267,0.07898183903744226,74067660000.0,6.770352833638025,17.809006972830005,12.661138461538462,-6.459764521193093,-4.754708478438799,1.0353031785524587,3.559234022104757
6,2007-01-11,53.11,52.95,54.5,54.45,44.88,5491000,1343000000.0,0.0005370787370528001,0.05448074310738038,0.07663196614046049,76338900000.0,6.9779616087751375,18.35510940129839,13.049384615384616,-6.65784929356358,-4.900508738424997,1.0670501244024488,3.66837578087458
7,2007-01-12,54.4,54.25,55.34,55.1,45.42,8345700,1343000000.0,0.000530742962477767,0.053838048315732516,0.07572795928036431,77250200000.0,7.061261425959781,18.574224573214714,13.205162393162395,-6.737327751613466,-4.959008842740447,1.0797880965027535,3.71216722729457
8,2007-01-16,55.0,54.72,55.95,55.75,45.95,8213400,1343000000.0,0.0005245549279376676,0.05321034012909169,0.07484503240086231,78161500000.0,7.144561243144424,18.79333974513104,13.360940170940172,-6.816806209663353,-5.017508947055897,1.0925260686030582,3.7559586737145603
9,2007-01-17,55.95,55.52,56.29,55.65,45.87,6731900,1343000000.0,0.0005254975243939796,0.05330595619401369,0.07497952482206782,78021300000.0,7.131745886654479,18.759629718682373,13.33697435897436,-6.804578754578755,-5.008508931007366,1.0905663805876267,3.7492215281114847
10,2007-01-18,54.0,53.36,54.6,53.8,44.35,13144300,1343000000.0,0.0005435676065525086,0.05513896769882643,0.07755781703249208,75427600000.0,6.894661791590494,18.13599422938206,12.893606837606837,-6.5783708355136925,-4.842008634109547,1.0543121523021441,3.624584334454589
11,2007-01-19,53.8,53.08,53.8,53.2,43.85,8131200,1343000000.0,0.0005496980682805445,0.05576083575558011,0.07843252925466304,74586400000.0,6.817769652650823,17.93373407069007,12.749811965811967,-6.505006105006106,-4.788008537818363,1.0425540242095552,3.5841614608361367
12,2007-01-22,53.2,52.05,53.25,52.19,43.02,8795700,1343000000.0,0.000560336026681835,0.056839939877311015,0.07995038429484717,73170380000.0,6.6883345521023765,17.593262803558545,12.507757264957265,-6.381508808651666,-4.6971083757282015,1.0227611752536971,3.5161162902450744
13,2007-01-23,52.2,51.4,52.45,51.47,42.43,7639300,1343000000.0,0.000568174416796677,0.05763505852335073,0.08106878873806245,72160940000.0,6.596063985374771,17.350550613128153,12.335203418803419,-6.293471132042561,-4.632308260178781,1.0086514215425904,3.467608841902931
14,2007-01-24,51.31,50.76,52.31,51.8,42.7,8157300,1343000000.0,0.0005645547728286674,0.05726788537059579,0.08055232734262692,72623600000.0,6.63835466179159,17.46179370040875,12.414290598290599,-6.3338217338217335,-4.662008313138932,1.0151183919935143,3.48984142239308
15,2007-01-25,51.8,51.8,52.4,52.1,42.95,4976800,1343000000.0,0.00056130397759165,0.0569381278732603,0.08008849436368663,73044200000.0,6.676800731261427,17.562923779754747,12.486188034188036,-6.370504099075529,-4.689008361284524,1.0209974560398087,3.5100528592023066
