,Date,Open,Low,High,Close,Adj. Close,Volume,Shares Outstanding,Dividend Yield,Earnings Yield,FCF Yield,Market-Cap,P/Cash,P/E,P/FCF,P/NCAV,P/NetNet,P/Sales,Price to Book Value
0,2008-03-19,14.88,13.75,17.25,14.12,12.76,708486000,,-0.0,-0.004883131881383484,0.0017076683421446337,175092547317.75998,72.14361240946023,-204.78660505001167,585.5938037383277,-33.58767452863226,-20.997457330866133,41.36370123263879,10.47454817646327
1,2008-03-20,14.62,14.38,16.25,16.09,14.53,198985200,,-0.0,-0.004285259301748588,0.0014985877558161731,199521181752.32,82.2089747640379,-233.35810731265497,667.2949222485619,-38.27377359530404,-23.926989267254683,47.13469920914717,11.935940521196459
2,2008-03-24,16.81,14.75,16.93,14.93,13.49,149566400,,-0.0,-0.0046182064410673004,0.001615021901613009,185136808176.63998,76.28216241311907,-216.53427856916957,619.1866494202006,-35.5144462260963,-22.201985690497974,43.73654811638082,11.075425231911941
3,2008-03-25,15.16,14.96,16.06,15.81,14.28,87092000,,-0.0,-0.004361152572114787,0.0015251282094296157,196049091578.88,80.77836488622991,-229.297183133193,655.6825805313712,-37.607729057909076,-23.510609093554788,46.31445584192771,11.728229934127784
4,2008-03-26,15.62,15.39,16.12,15.99,14.44,43111600,,-0.0,-0.004312058922147266,0.0015079597868093949,198281149547.52,81.69804266482076,-231.90777724856142,663.1476573495652,-38.035900546234416,-23.778282062361864,46.841755149425936,11.861758168671932
5,2008-03-27,16.01,15.66,16.18,15.73,14.21,39829600,,-0.0,-0.004383332623339783,0.0015328847419632692,195057065815.04,80.3696192068562,-228.13691908191814,652.3647686121739,-37.41743061865336,-23.391643329640534,46.08010059415072,11.668884052108162
6,2008-03-28,15.78,15.54,15.86,15.69,14.17,24675200,,-0.0,-0.004394507467503811,0.0015367926699223853,194561052933.12,80.16524636716935,-227.55678705628068,650.7058626525752,-37.32228139902551,-23.332160447683403,45.96292297026222,11.63921111109835
7,2008-03-31,15.68,15.51,15.87,15.59,14.08,22157200,13232000000.0,-0.0,-0.0030069055117771942,-0.0024760311593530824,241111666848.32,42.75787672429863,-332.56781634251035,-403.8721387744054,6027.791671208,-57.872587302327034,49.4791025750708,10.120961543395877
8,2008-04-01,15.75,15.08,15.92,15.4,13.91,60410800,13232000000.0,-0.0,-0.003044003696662757,-0.0025065795957347112,238173166739.2,42.23677367249512,-328.51471274372415,-398.95002803886103,5954.32916848,-57.16727674508251,48.87608593047404,9.997614353322419
9,2008-04-02,15.45,15.12,15.58,15.58,14.07,43836400,13232000000.0,-0.0,-0.0030088354896409793,-0.002477620396297468,240957008947.84,42.73045024788792,-332.35449510046897,-403.6130803146399,6023.925223695999,-57.835465694051,49.44736485693413,10.11446958602359
10,2008-04-03,15.48,15.46,16.57,16.38,14.79,100868000,13232000000.0,-0.0,-0.0028618838173752417,-0.002356613295135199,253329640986.24,44.92456836074481,-349.4201944637793,-424.3377570958794,6333.241024655999,-60.80519435613321,51.98638230786784,10.633826175806572
11,2008-04-04,16.22,15.94,16.33,16.12,14.56,36394400,13232000000.0,-0.0,-0.0029080432337845194,-0.002394623186992218,249308535573.76,44.21147997406632,-343.8738421707035,-417.6022371419766,6232.713389344,-59.8400325409565,51.16120163631439,10.465035284127104
