,Date,Open,Low,High,Close,Adj. Close,Volume,Shares Outstanding,Dividend Yield,Earnings Yield,FCF Yield,Market-Cap,P/Cash,P/E,P/FCF,P/NCAV,P/NetNet,P/Sales,Price to Book Value
0,2007-01-03,37.63,37.61,38.49,37.82,16.29,21445800,,,,,,,,,,,,
1,2007-01-04,38.02,37.68,38.09,38.03,16.38,19215800,,,,,,,,,,,,
2,2007-01-05,38.03,37.32,38.06,37.38,16.1,19047000,,,,,,,,,,,,
3,2007-01-08,36.95,36.59,37.04,36.81,16.03,20370800,,,,,,,,,,,,
4,2007-01-09,36.81,36.81,37.25,36.96,16.09,16281300,,,,,,,,,,,,
5,2007-01-10,36.96,36.48,37.0,36.75,16.0,14750200,,,,,,,,,,,,
6,2007-01-11,36.71,36.5,37.21,37.11,16.16,9740700,,,,,,,,,,,,
7,2007-01-12,37.16,37.15,37.49,37.33,16.25,12502700,,,,,,,,,,,,
8,2007-01-16,37.41,36.97,37.49,37.16,16.18,12128100,,,,,,,,,,,,
9,2007-01-17,37.05,36.79,37.25,36.88,16.06,11809700,,,,,,,,,,,,
10,2007-01-18,36.6,36.6,37.66,37.57,16.36,12188200,,,,,,,,,,,,
11,2007-01-19,37.57,37.02,37.63,37.25,16.22,13451400,,,,,,,,,,,,
12,2007-01-22,37.11,37.0,37.4,37.25,16.22,9991400,,,,,,,,,,,,
13,2007-01-23,37.36,37.31,37.95,37.49,16.32,14298300,,,,,,,,,,,,
14,2007-01-24,37.63,37.58,38.23,38.07,16.58,11639000,,,,,,,,,,,,
15,2007-01-25,38.07,37.18,38.22,37.5,16.33,12685000,,,,,,,,,,,,
16,2007-01-26,37.5,37.1,37.83,37.83,16.47,10493300,,,,,,,,,,,,
17,2007-01-29,37.42,37.27,38.2,38.03,16.56,17055400,,,,,,,,,,,,
18,2007-01-30,38.04,38.04,38.68,38.58,16.8,17042600,,,,,,,,,,,,
19,2007-01-31,38.44,38.11,38.68,38.52,16.77,12921900,,,,,,,,,,,,
20,2007-02-01,38.77,37.9,38.77,38.0,16.55,15064200,,,,,,,,,,,,
21,2007-02-02,38.2,38.01,38.38,38.17,16.62,10841400,,,,,,,,,,,,
22,2007-02-05,38.02,37.81,38.13,38.09,16.58,9057800,,,,,,,,,,,,
23,2007-02-06,38.05,37.81,38.2,38.08,16.58,8630300,,,,,,,,,,,,
24,2007-02-07,38.08,37.95,38.39,38.09,16.58,8500000,,,,,,,,,,,,
25,2007-02-08,38.04,37.68,38.23,37.95,16.52,12177900,,,,,,,,,,,,
26,2007-02-09,37.99,37.37,38.1,37.7,16.41,8386900,,,,,,,,,,,,
27,2007-02-12,37.7,37.38,37.88,37.57,16.36,6797200,,,,,,,,,,,,
28,2007-02-13,37.57,37.48,38.07,38.04,16.56,7420800,,,,,,,,,,,,
29,2007-02-14,38.1,38.05,38.76,38.63,16.82,12386200,,,,,,,,,,,,
30,2007-02-15,38.53,38.39,38.68,38.4,16.72,7471700,,,,,,,,,,,,
31,2007-02-16,38.41,38.21,38.53,38.5,16.76,9217600,,,,,,,,,,,,
32,2007-02-20,38.55,38.05,38.6,38.26,16.66,7879900,,,,,,,,,,,,
33,2007-02-21,38.21,38.0,38.53,38.29,16.67,8746600,,,,,,,,,,,,
34,2007-02-22,38.5,38.22,38.62,38.44,16.74,9807300,,,,,,,,,,,,
35,2007-02-23,38.44,37.9,38.52,38.41,16.72,10530800,,,,,,,,,,,,
36,2007-02-26,38.44,38.34,38.75,38.39,16.72,13814100,,,,,,,,,,,,
37,2007-02-27,38.35,35.83,38.35,36.63,15.95,23607600,,,,,,,,,,,,
38,2007-02-28,37.01,36.61,37.52,37.4,16.28,19214600,,,,,,,,,,,,
39,2007-03-01,37.0,36.41,37.39,37.1,16.15,15998500,,,,,,,,,,,,
40,2007-03-02,36.95,36.2,37.1,36.48,15.88,14027200,,,,,,,,,,,,
41,2007-03-05,36.29,36.05,36.82,36.13,15.73,12130300,,,,,,,,,,,,
42,2007-03-06,36.54,36.19,36.7,36.48,15.88,15086500,,,,,,,,,,,,
43,2007-03-07,36.31,35.6,36.47,35.68,15.54,18300000,,,,,,,,,,,,
44,2007-03-08,36.1,35.84,36.62,36.48,15.88,13422800,,,,,,,,,,,,
45,2007-03-09,36.7,36.25,36.7,36.45,15.87,12555900,,,,,,,,,,,,
46,2007-03-12,36.45,36.11,36.84,36.58,15.93,14847300,,,,,,,,,,,,
47,2007-03-13,36.42,35.94,36.63,36.13,15.73,15652900,,,,,,,,,,,,
48,2007-03-14,36.21,35.82,36.35,36.28,15.8,14704700,,,,,,,,,,,,
49,2007-03-15,36.07,35.89,36.41,36.36,15.83,11540800,,,,,,,,,,,,
50,2007-03-16,36.43,36.12,36.75,36.32,15.81,16304200,,,,,,,,,,,,
51,2007-03-19,36.45,36.42,36.83,36.75,16.0,8378900,,,,,,,,,,,,
52,2007-03-20,36.67,36.45,37.0,36.98,16.1,9988300,,,,,,,,,,,,
53,2007-03-21,36.66,36.66,37.75,37.68,16.41,11936100,,,,,,,,,,,,
54,2007-03-22,37.7,37.51,38.22,38.01,16.55,15295600,,,,,,,,,,,,
55,2007-03-23,38.08,37.91,38.53,38.12,16.6,17443400,,,,,,,,,,,,
