,Date,Open,Low,High,Close,Adj. Close,Volume,Shares Outstanding,Dividend Yield,Earnings Yield,FCF Yield,Market-Cap,P/Cash,P/E,P/FCF,P/NCAV,P/NetNet,P/Sales,Price to Book Value
0,2007-01-03,45.89,45.6,46.69,46.07,31.68,6294500,,,,,,,,,,,,
1,2007-01-04,45.78,45.72,46.28,46.16,31.74,3681800,,,,,,,,,,,,
2,2007-01-05,46.01,45.39,46.31,45.5,31.29,3680900,,,,,,,,,,,,
3,2007-01-08,45.39,44.93,45.74,45.69,31.42,4720800,,,,,,,,,,,,
4,2007-01-09,45.75,45.6,46.08,45.93,31.59,3792500,,,,,,,,,,,,
5,2007-01-10,45.59,45.45,45.94,45.58,31.34,3663400,,,,,,,,,,,,
6,2007-01-11,45.58,45.47,46.1,46.06,31.67,4501600,,,,,,,,,,,,
7,2007-01-12,46.06,45.6,46.39,46.2,31.77,3305300,,,,,,,,,,,,
8,2007-01-16,46.01,45.9,46.4,46.09,31.7,2725900,,,,,,,,,,,,
9,2007-01-17,45.99,45.8,46.55,46.51,31.98,3922900,,,,,,,,,,,,
10,2007-01-18,46.52,46.03,46.6,46.4,31.91,3236900,,,,,,,,,,,,
11,2007-01-19,46.49,46.01,46.5,46.01,31.64,3092400,,,,,,,,,,,,
12,2007-01-22,46.21,45.49,46.21,45.8,31.5,3933400,,,,,,,,,,,,
13,2007-01-23,45.77,45.31,45.92,45.58,31.34,3020600,,,,,,,,,,,,
14,2007-01-24,45.53,45.15,45.94,45.51,31.3,4264300,,,,,,,,,,,,
15,2007-01-25,45.27,45.05,45.54,45.14,31.04,4029200,,,,,,,,,,,,
16,2007-01-26,45.2,44.8,45.34,45.19,31.08,3438600,,,,,,,,,,,,
17,2007-01-29,45.23,44.93,45.58,45.4,31.22,3658100,,,,,,,,,,,,
18,2007-01-30,45.53,45.05,45.84,45.24,31.11,3762100,,,,,,,,,,,,
19,2007-01-31,45.29,44.81,45.5,45.3,31.15,4550300,,,,,,,,,,,,
20,2007-02-01,45.32,45.28,45.88,45.74,31.45,5131100,,,,,,,,,,,,
