,Date,Open,Low,High,Close,Adj. Close,Volume,Shares Outstanding,Dividend Yield,Earnings Yield,FCF Yield,Market-Cap,P/Cash,P/E,P/FCF,P/NCAV,P/NetNet,P/Sales,Price to Book Value
0,2007-01-03,47.09,47.06,48.3,47.55,33.5,35687300,4167000000.0,,,,,,,,,,,
1,2007-01-04,47.75,47.32,47.99,47.78,33.66,17073000,4167000000.0,,,,,,,,,,,
2,2007-01-05,47.5,47.15,47.8,47.39,33.39,13556900,4167000000.0,,,,,,,,,,,
3,2007-01-08,46.9,46.9,47.31,47.0,33.11,16396400,4167000000.0,,,,,,,,,,,
4,2007-01-09,47.0,47.0,47.67,47.39,33.39,14643200,4167000000.0,,,,,,,,,,,
5,2007-01-10,47.22,46.51,47.62,47.28,33.31,13348100,4167000000.0,,,,,,,,,,,
6,2007-01-11,47.27,47.21,47.73,47.6,33.53,14823200,4167000000.0,,,,,,,,,,,
7,2007-01-12,47.62,47.21,48.11,47.98,33.8,13910800,4167000000.0,,,,,,,,,,,
8,2007-01-16,47.98,47.79,48.48,48.31,34.03,14482400,4167000000.0,,,,,,,,,,,
9,2007-01-17,48.32,48.09,48.41,48.2,33.96,11305400,4167000000.0,,,,,,,,,,,
10,2007-01-18,48.2,48.08,48.78,48.39,34.09,13656200,4167000000.0,,,,,,,,,,,
11,2007-01-19,48.49,48.19,48.74,48.31,34.03,11960300,4167000000.0,,,,,,,,,,,
12,2007-01-22,48.16,47.6,48.27,47.96,33.79,12719900,4167000000.0,,,,,,,,,,,
13,2007-01-23,47.78,47.46,48.15,47.81,33.68,11274300,4167000000.0,,,,,,,,,,,
14,2007-01-24,48.07,47.99,48.7,48.61,34.25,13491600,4167000000.0,,,,,,,,,,,
15,2007-01-25,48.61,48.09,48.64,48.15,33.92,9760100,4167000000.0,,,,,,,,,,,
16,2007-01-26,48.05,47.47,48.36,47.67,33.58,11058400,4167000000.0,,,,,,,,,,,
17,2007-01-29,47.6,47.5,48.15,47.63,33.56,9537000,4167000000.0,,,,,,,,,,,
18,2007-01-30,47.75,46.91,47.84,47.28,33.31,16342400,4167000000.0,,,,,,,,,,,
19,2007-01-31,47.2,47.04,47.96,47.69,33.6,14894300,4122000000.0,,,,,,,,,,,
20,2007-02-01,47.51,47.44,48.08,47.78,33.66,13235400,4122000000.0,,,,,,,,,,,
21,2007-02-02,47.75,47.64,48.42,48.08,33.87,12611700,4122000000.0,,,,,,,,,,,
22,2007-02-05,48.5,48.42,48.9,48.52,34.18,8676300,4122000000.0,,,,,,,,,,,
23,2007-02-06,48.53,48.32,48.77,48.58,34.23,4997600,4122000000.0,,,,,,,,,,,
24,2007-02-07,48.38,48.28,48.75,48.58,34.23,10084300,4122000000.0,,,,,,,,,,,
25,2007-02-08,48.36,48.13,48.6,48.31,34.03,10791600,4122000000.0,,,,,,,,,,,
26,2007-02-09,48.37,47.67,48.54,47.97,33.8,12406000,4122000000.0,,,,,,,,,,,
27,2007-02-12,48.15,47.68,48.24,47.74,33.63,10330400,4122000000.0,,,,,,,,,,,
28,2007-02-13,47.8,47.74,48.17,47.98,33.8,10068400,4122000000.0,,,,,,,,,,,
29,2007-02-14,48.08,47.75,48.13,47.87,33.72,12275700,4122000000.0,,,,,,,,,,,
30,2007-02-15,47.82,47.82,48.54,48.36,34.07,11296500,4122000000.0,,,,,,,,,,,
31,2007-02-16,48.35,48.25,48.85,48.48,34.15,17103700,4122000000.0,,,,,,,,,,,
32,2007-02-20,49.86,49.41,50.29,50.26,35.41,36502900,4122000000.0,,,,,,,,,,,
33,2007-02-21,49.91,49.87,50.42,49.97,35.2,23789100,4122000000.0,,,,,,,,,,,
34,2007-02-22,50.09,49.55,50.18,49.69,35.01,10632900,4122000000.0,,,,,,,,,,,
35,2007-02-23,49.55,49.29,49.89,49.57,34.92,11050600,4122000000.0,,,,,,,,,,,
36,2007-02-26,49.7,49.45,50.05,49.98,35.21,10662800,4122000000.0,,,,,,,,,,,
37,2007-02-27,49.6,48.2,49.78,48.2,33.96,20652700,4122000000.0,,,,,,,,,,,
38,2007-02-28,48.25,48.01,48.66,48.31,34.03,21331800,4122000000.0,,,,,,,,,,,
